"Identifier","Context","Source string","Translation"
"ASLV012LO","Dr.Loboto","What a delightfully mean little brain you have. Just what we want!","What a delightfully mean little brain you have. Just what we want!"
"ASLV013LO","Dr.Loboto","Here, do me a favor. Tell me if you think this smells like... your DOOM! Heh heh.","Here, do me a favor. Tell me if you think this smells like... your DOOM! Heh heh."
"ASLV014LI","Lili","(Snotty breathing.)","(Snotty breathing.)"
"ASLV015LI","Lili","(Sniff sniff.) I can't smell anything.","(Sniff sniff.) I can't smell anything."
"ASLV016LO","Dr.Loboto","Curses!","Curses!"
"ASLV017LI","Lili","Heh heh.","Heh heh."
"ASLV018LO","Dr.Loboto","You're a stubborn little ball of phlegm, ain't ya?","You're a stubborn little ball of phlegm, ain't ya?"
"ASLV019LO","Dr.Loboto","Well, that head cold won't protect you forever, little girl, and when it's gone you'll be sneezing a different tune!","Well, that head cold won't protect you forever, little girl, and when it's gone you'll be sneezing a different tune!"
"ASLV020LO","Dr.Loboto","A tune in the key of... BRAINS! Ha ha ha!","A tune in the key of... BRAINS! Ha ha ha!"
"BBVI005CO","Coach","HOLD IT RIGHT THERE, SON!","HOLD IT RIGHT THERE, SON!"
"BBVI006CO","Coach","Now just what in the sam hill do you thing you're doing in there?","Now just what in the sam hill do you thing you're doing in there?"
"BBVI007RA","Raz","I was just looking for a way out.","I was just looking for a way out."
"BBVI008CO","Coach","Oh","Oh"
"BBVI011CO","Coach","Sorry about that.","Sorry about that."
"BBVI012CO","Coach","Didn't think you'd get to the end so fast.","Didn't think you'd get to the end so fast."
"BBVI013CO","Coach","Dang! I didn't think you'd get to the end at all!","Dang! I didn't think you'd get to the end at all!"
"BBVI014CO","Coach","But I'm always glad to see a soldier come back from the field alive.","But I'm always glad to see a soldier come back from the field alive."
"BBVI015CO","Coach","You surprised me out there, kid.","You surprised me out there, kid."
"BBVI016CO","Coach","Here. You've earned this.","Here. You've earned this."
"BBVI017CO","Coach","Your first PSYCHONAUT MERIT BADGE!","Your first PSYCHONAUT MERIT BADGE!"
"BBVI018CO","Coach","Now if you'll excuse me, I gotta go back in.","Now if you'll excuse me, I gotta go back in."
"BBVI019CO","Coach","I left some good men back there!","I left some good men back there!"
"LLLV001LF","Linda","Human child.","Human child."
"LLLV002RA","Raz","Wha--who is that?","Wha--who is that?"
"LLLV003LF","Linda","It is I, the creature whose spirit was once--","It is I, the creature whose spirit was once--"
"LLLV004LF","Linda","Um, over here. Behind you? Yes.","Um, over here. Behind you? Yes."
"LLLV005RA","Raz","Oh.","Oh."
"LLLV006LF","Linda","The creature whose spirit was once enslaved by the evil one.","The creature whose spirit was once enslaved by the evil one."
"LLLV007LF","Linda","You have unchained my soul, and now I shall repay you, powerful human child!","You have unchained my soul, and now I shall repay you, powerful human child!"
"LLLV008RA","Raz","Oh, uh... great! Well okay, show me what you did to my friend Lili!","Oh, uh... great! Well okay, show me what you did to my friend Lili!"
"LLLV009LF","Linda","By the drowned spirit of Oblongata, it is done!","By the drowned spirit of Oblongata, it is done!"
"LLLV010RA","Raz","Ah--","Ah--"
"MMDD008BO","Boyd","GRAAAAAA!","GRAAAAAA!"
"SAIN008SA","Sasha","No, as firepower!","No, as firepower!"
"SAIN010SA","Sasha","Ahhh, oh, so tacky... I can't... look... directly at it!","Ahhh, oh, so tacky... I can't... look... directly at it!"
"GLRA001RA","Raz","giggle","giggle"
"GLRA007RA","Raz","Uh-oof.","Uh-oof."
"GLRA008RA","Raz","Yuh-uhf.","Yuh-uhf."
"GLRA009RA","Raz","Oah","Oah"
"GLRA011RA","Raz","Ohh","Ohh"
"GLRA012RA","Raz","D'oh","D'oh"
"GLRA013RA","Raz","D'oh!","D'oh!"
"GLRA030RA","Raz","Who's the man!","Who's the man!"
"GLRA031RA","Raz","sigh","sigh"
"GLRA035RA","Raz","Here we go again.","Here we go again."
"GLRA036RA","Raz","Oh boy!","Oh boy!"
"GLRA037RA","Raz","Sheesh!","Sheesh!"
"GLRA038RA","Raz","electrocution reaction","electrocution reaction"
"GLEB000RA","Raz","This guy needs a Duffle Bag Tag.","This guy needs a Duffle Bag Tag."
"GLEB001RA","Raz","This Hat Box needs a Hat Box Tag.","This Hat Box needs a Hat Box Tag."
"GLEB002RA","Raz","I need the Purse Tag here.","I need the Purse Tag here."
"GLEB003RA","Raz","I need the Steamer Trunk Tag for this guy.","Йому знадобиться бирка для кофра."
"GLEB004RA","Raz","Suitcase Tag.  That's what I need here.","Бирка для валізки, ось що мені потрібно."
"ASAH000LF","Linda","What's going on! What's that sound?","What's going on! What's that sound?"
"ASAH001SH","Sheegor","Oh the insane asylum just blew up. But don't worry. Mr. Pokeylope helped me save all the brains before it fell down.","Oh the insane asylum just blew up. But don't worry. Mr. Pokeylope helped me save all the brains before it fell down."
"ASAH002LF","Linda","Mr. Pokeylope?","Mr. Pokeylope?"
"ASAH003LF","Linda","Sam? Is that you? It's me, Linda. From the lake?","Sam? Is that you? It's me, Linda. From the lake?"
"ASAH004PL","Mr.Pokeylope","Linda. I haven't seen you in ages. You look so... different.","Linda. I haven't seen you in ages. You look so... different."
"ASAH005LF","Linda","Uh, yeah. I've put on a little weight.","Uh, yeah. I've put on a little weight."
"ASAH006PL","Mr.Pokeylope","Ah, you know I don't mind that onnnnne bit.","Ah, you know I don't mind that onnnnne bit."
"ASAH007LF","Linda","Oh, Sam. You haven't changed at all!","Oh, Sam. You haven't changed at all!"
"ASAH008LF","Linda","Ah ha ha!","Ah ha ha!"
"FINI000CO","Coach","And so, that brings us to the end.","And so, that brings us to the end."
"FINI001CO","Coach","Where, as you can clearly see, the personal demons causing my negative behavior have all been eradicated, leaving me sane once again.","Where, as you can clearly see, the personal demons causing my negative behavior have all been eradicated, leaving me sane once again."
"FINI002CO","Coach","This is also corroborated in CAT scan number three, on page fifty-nine of your handouts.","This is also corroborated in CAT scan number three, on page fifty-nine of your handouts."
"FINI003CO","Coach","On a personal note, I would just like to reiterate how extremely, extremely sorry I am for stealing all of your brains, and trying to take over the world.","On a personal note, I would just like to reiterate how extremely, extremely sorry I am for stealing all of your brains, and trying to take over the world."
"FINI004CO","Coach","Mistakes have been made.","Mistakes have been made."
"FINI005CO","Coach","But this camp is all about education, and I know I, for one, learned plenty.","But this camp is all about education, and I know I, for one, learned plenty."
"FINI006CO","Coach","Thanks to that guy right there. Come on up here, Raz!","Thanks to that guy right there. Come on up here, Raz!"
"FINI007FO","Ford","We endeavor to build strong minds here, with the power to lift things, to see things, to burn things.","We endeavor to build strong minds here, with the power to lift things, to see things, to burn things."
"FINI008FO","Ford","But it's a special quality of your heart, not your mind, that truly makes a great Psychonaut.","But it's a special quality of your heart, not your mind, that truly makes a great Psychonaut."
"FINI009FO","Ford","This young man has it.","This young man has it."
"FINI010FO","Ford","We did not give it to him. ","We did not give it to him. "
"FINI011FO","Ford","He got it from someone else, long before he came here.","He got it from someone else, long before he came here."
"FINI012FO","Ford","But we CAN give him this, to honor his mind, his courage, and his heart.","But we CAN give him this, to honor his mind, his courage, and his heart."
"FINI013FO","Ford","Son, we do not normally ask this of someone so young, but it is obvious to us all that you are not average.","Son, we do not normally ask this of someone so young, but it is obvious to us all that you are not average."
"FINI014FO","Ford","Will you join us, Razputin?","Will you join us, Razputin?"
"FINI015FO","Ford","Will you be... a Psychonaut?","Will you be... a Psychonaut?"
"FINI016LI","Lili","Okay, let's be perfectly clear about this. That was the best summer of my whole entire life.","Okay, let's be perfectly clear about this. That was the best summer of my whole entire life."
"FINI017RA","Raz","Hey, the summer's not over yet! We can hang out for a couple of weeks still.","Hey, the summer's not over yet! We can hang out for a couple of weeks still."
"FINI018LI","Lili","My family's out on the East Coast. Where's yours?","My family's out on the East Coast. Where's yours?"
"FINI019RA","Raz","They move around a lot.","They move around a lot."
"FINI020LI","Lili","Hm...","Hm..."
"FINI021LI","Lili","Well, you'd better go. Your dad's waiting for you.","Well, you'd better go. Your dad's waiting for you."
"FINI022RA","Raz","Um, well--","Um, well--"
"FINI023LI","Lili","Bye.","Bye."
"FINI024SA","Sasha","Children, it's an emergency. There's been another kidnapping!","Children, it's an emergency. There's been another kidnapping!"
"FINI025CO","Coach","I was here the whole time. You saw me.","I was here the whole time. You saw me."
"FINI026SA","Sasha","No, this time we know who it is, and that's what scares us.","No, this time we know who it is, and that's what scares us."
"FINI027RA","Raz","Who was kidnapped?","Who was kidnapped?"
"FINI028MI","Milla","Truman Zanotto, the Grand Head of the Psychonauts.","Truman Zanotto, the Grand Head of the Psychonauts."
"FINI029LI","Lili","Dad?","Dad?"
"FINI030SA","Sasha","Sir, can you teleport this many of us back to headquarters?","Sir, can you teleport this many of us back to headquarters?"
"FINI031FO","Ford","Hey, what are you people doing in my kitchen? Now git!","Hey, what are you people doing in my kitchen? Now git!"
"FINI032CO","Coach","Guess we're taking the jet.","Guess we're taking the jet."
"FINI033MI","Milla","Don't worry about your dad, darling. We'll get him back.","Don't worry about your dad, darling. We'll get him back."
"FINI034SA","Sasha","Yes, after all, we'll have Razputin helping us.","Yes, after all, we'll have Razputin helping us."
"FINI035RA","Raz","I'm going?","I'm going?"
"FINI036SA","Sasha","Now how could we do this without our anti-kidnapping specialist?","Now how could we do this without our anti-kidnapping specialist?"
"FINI039GD","Augustus","I've taught you everything I can, Son. ","I've taught you everything I can, Son. "
"FINI040GD","Augustus","Now you go show them. Show them all.","Now you go show them. Show them all."
"FINI042RA","Raz","Let's go.","Let's go."
"GLZH022TO","System","No merit badges","No merit badges"
"GLZG025TO","System","Good news! You have enough PSI Cards {PsiCard} to build a new PSI Challenge Marker! {Marker} Just buy a PSI Core {PsiCore} at the Camp Store and bring it to Ford Cruller {FordNinja} so he can make you one!","Good news! You have enough PSI Cards {PsiCard} to build a new PSI Challenge Marker! {Marker} Just buy a PSI Core {PsiCore} at the Camp Store and bring it to Ford Cruller {FordNinja} so he can make you one!"
"GLZG026TO","System","Congratulations! You found a loose PSI Card! [image of card] Collect nine of these and you can build a PSI Challenge Marker [image of marker] out of them, but you'll need to get a PSI Core [image of core] from the Camp Store, and a little help from Ford Cruller. [image of ninja Ford]","Congratulations! You found a loose PSI Card! [image of card] Collect nine of these and you can build a PSI Challenge Marker [image of marker] out of them, but you'll need to get a PSI Core [image of core] from the Camp Store, and a little help from Ford Cruller. [image of ninja Ford]"
"GLZG027TO","System","You just found a PSI Challenge Marker! {Marker} Every time you find one of these, your PSI Cadet Rank goes up! Rank up enough and you'll get more PSI powers!","You just found a PSI Challenge Marker! {Marker} Every time you find one of these, your PSI Cadet Rank goes up! Rank up enough and you'll get more PSI powers!"
"GLZH023TO","System","...yet!","...yet!"
"GLRA000RA","Raz","Hm. I'm not getting anything. I must be out of range or something.","Hm. I'm not getting anything. I must be out of range or something."
"CAEM003BZ","Bobby","Ah-ha-ha-ha!","Ah-ha-ha-ha!"
"GLAA000RA","Raz","Man, these things smell terrible. Am I sure I want to do this?","Man, these things smell terrible. Am I sure I want to do this?"
"GLAA001RA","Raz","Yes, I want to go back to the real world that badly.","Yes, I want to go back to the real world that badly."
"GLAA002RA","Raz","No, I think I'll stay in this mind for a while longer.","No, I think I'll stay in this mind for a while longer."
"GLAA003RA","Raz","I don't want to crack open these Smelling Salts unless I'm in a mental world, and I REALLY want to get out. They smell pretty bad.","I don't want to crack open these Smelling Salts unless I'm in a mental world, and I REALLY want to get out. They smell pretty bad."
"GLZG028TO","System","Your first figment!","Your first figment!"
"GLZG029TO","System","Collect 100 figment points and you'll be promoted! If you get promoted to a high enough rank, you will earn new Psychic Abilities!","Collect 100 figment points and you'll be promoted! If you get promoted to a high enough rank, you will earn new Psychic Abilities!"
"GLZG030TO","System","You can look at all the figments you've collected in your JOURNAL {Journal}","Усі зібрані вигадки можна подивитися в ЖУРНАЛІ {Journal}"
"GLZG031TO","System","Your first Arrowhead! {Arrowhead}  Arrowheads are made of Psitanium, a rare psychoreactive mineral, which makes them very valuable. You can use Arrowheads to buy items at the camp store and other places you find.","Це ваш перший наконечник! {Arrowhead} Наконечники зроблені з пситанію, рідкісного психореактивного мінералу, що робить їх цінними. Використовуйте наконечники, щоб купувати речі в табірній крамниці та інших місцях."
"GLZB013TO","System","Dream Fluff","Dream Fluff"
"GLZB014TO","System","PSI Core","PSI Core"
"GLZB015TO","System","Cobweb Duster","Cobweb Duster"
"GLZB016TO","System","Dowsing Rod","Dowsing Rod"
"GLZB017TO","System","PSI Energy Colorizer","PSI Energy Colorizer"
"GLZH001TO","System","Oleander's Pride","Гордість Олеандра"
"GLZH002TO","System","Oleander's Shame","Oleander's Shame"
"GLZH003TO","System","Milla's Adventures!","Milla's Adventures!"
"GLZH004TO","System","Milla's Children","Milla's Children"
"GLZH005TO","System","Sasha's First Loss","Sasha's First Loss"
"GLZH006TO","System","Sasha's Second Sight","Sasha's Second Sight"
"GLZH007TO","System","Edgar's Lament","Edgar's Lament"
"GLZH008TO","System","Edgar's Love","Edgar's Love"
"GLZH009TO","System","Boyd: Fired Again!","Boyd: Fired Again!"
"GLZH010TO","System","Boyd: Hired Again!","Boyd: Hired Again!"
"GLZH011TO","System","Gloria's Cruel Training","Gloria's Cruel Training"
"GLZH012TO","System","Gloria's Fallen Star","Gloria's Fallen Star"
"GLZH013TO","System","Lungfish and Loboto","Lungfish and Loboto"
"GLZH014TO","System","Lungfishopolis Under Siege!","Lungfishopolis Under Siege!"
"GLZH015TO","System","Razputin's Getaway","Razputin's Getaway"
"GLZH016TO","System","The World Shall Taste my Eggs!","The World Shall Taste my Eggs!"
"GLZH000TO","System","Fred vs. Crispin","Fred vs. Crispin"
"GLZH017TO","System","Fred vs. Napoleon","Fred vs. Napoleon"
"GLZH018TO","System","The Big Top","The Big Top"
"GLRA044RA","Raz","Ugh!","Ugh!"
"GLGO000VE","Vernon","Hee hee hee!","Hee hee hee!"
"GLGO007MH","Mikhail","Ho ho ho.","Ho ho ho."
"GLGO010CM","Clem","HEE HEE HEE HEE HEE!","HEE HEE HEE HEE HEE!"
"GLGO012JT","J.T.","Heh. Tarnation!","Heh. Tarnation!"
"GLGO013CP","Chops","Ha ha ha.","Ha ha ha."
"GLGO014CH","Chloe","Hmm. Interesting sensation.","Hmm. Interesting sensation."
"GLGO015BZ","Bobby","Ah! Ahhhhh!","Ah! Ahhhhh!"
"GLGO016BN","Benny","Hey, quit it!","Hey, quit it!"
"GLGO017EF","Elton","Hee hee.","Hee hee."
"GLGO020SA","Sasha","Razputin, please. Germs. ","Razputin, please. Germs. "
"GLGO021SA","Sasha","Uh... Germs...","Uh... Germs..."
"GLGO023MI","Milla","Uh... heh... Heh heh","Uh... heh... Heh heh"
"GLGO024FO","Ford","Ooh, ha ha ha!","Ooh, ha ha ha!"
"GLGO025CO","Coach","Heh. Knock it off.","Heh. Knock it off."
"GLGO026GL","Gloria","Ooooh hoo hoo!","Ooooh hoo hoo!"
"GLGO029CR","Crispin","Woo hoo ha ha hahaha!","Woo hoo ha ha hahaha!"
"GLGO031RA","Raz","Hey, can we talk about this friendship bracelet?","Hey, can we talk about this friendship bracelet?"
"GLGO032LI","Lili","No. It's embarrassing enough that I made it. Just put it away and shut up.","No. It's embarrassing enough that I made it. Just put it away and shut up."
"GLGO033RA","Raz","Hm. I don't think I want to put this bracelet on just yet. I think Lili and I need to talk about our relationship first.","Hm. I don't think I want to put this bracelet on just yet. I think Lili and I need to talk about our relationship first."
"GLGO034RA","Raz","I don't want to show anyone this bracelet. People will think we're totally boyfriend-girlfriend.","I don't want to show anyone this bracelet. People will think we're totally boyfriend-girlfriend."
"GLGO035RA","Raz","I'd like you to meet Mr. Pokeylope.","I'd like you to meet Mr. Pokeylope."
"GLGO036RA","Raz","No, I can't mess around with Mr. Pokeylope. I've got to give him back to Sheegor right away!","No, I can't mess around with Mr. Pokeylope. I've got to give him back to Sheegor right away!"
"GLGO037RA","Raz","Don't worry, Mr. Pokeylope. I'll get you back to Sheegor right away.","Don't worry, Mr. Pokeylope. I'll get you back to Sheegor right away."
"GLGO038RA","Raz","This is that button Sasha gave me. It's a clue to the location of his secret lab.","This is that button Sasha gave me. It's a clue to the location of his secret lab."
"GLGO039RA","Raz","No, I don't want to lose this button. I might not get into Sasha's secret lab without it.","No, I don't want to lose this button. I might not get into Sasha's secret lab without it."
"GLGO040QU","Quentin","Hey, that's a pretty sweet sound there homey. Why don't you come jam with us some time?","Hey, that's a pretty sweet sound there homey. Why don't you come jam with us some time?"
"GLGO041PH","Phoebe","Wooo! Lake whistle solo!","Wooo! Lake whistle solo!"
"GLGO042JT","J.T.","Now that's the darndest harmonica I ever heard. That could be just the sound to take this band in the prog-rock direction I was hoping for.","Now that's the darndest harmonica I ever heard. That could be just the sound to take this band in the prog-rock direction I was hoping for."
"GLGO043CP","Chops","Hmmm. A horn section might be just what we need.","Hmmm. A horn section might be just what we need."
"GLGO044LO","Dr.Loboto","Sheegor, please! Open a window if you're going to do that.","Sheegor, please! Open a window if you're going to do that."
"GLGO045RA","Raz","I think I have to be closer to the shore for Linda to hear it. ","I think I have to be closer to the shore for Linda to hear it. "
"GLGO046RA","Raz","I'm not going to wear my costume here. People will think I'm crazy!","I'm not going to wear my costume here. People will think I'm crazy!"
"GLGO047RA","Raz","Man, I can see why Pokeylope loves this cake. It looks so moist and delicious.","Man, I can see why Pokeylope loves this cake. It looks so moist and delicious."
"GLGO048RA","Raz","Come on Mr. Pokeylope. Come and get your cake!","Come on Mr. Pokeylope. Come and get your cake!"
"GLGO049RA","Raz","Hey, would you mind if I just ate this cake myself?","Hey, would you mind if I just ate this cake myself?"
"GLGO050RA","Raz","Hey, Sasha. Wake up! Cake!","Hey, Sasha. Wake up! Cake!"
"GLGO051RA","Raz","Come on, Brainless Milla. Time to blow out the candles!","Come on, Brainless Milla. Time to blow out the candles!"
"GLGO052RA","Raz","Hey, if I shoved this cake in your face right now, you wouldn't be able to do anything as revenge.","Hey, if I shoved this cake in your face right now, you wouldn't be able to do anything as revenge."
"GLGO053LI","Lili","Not right away, no. But a revenge that painful would take lots of planning anyway.","Not right away, no. But a revenge that painful would take lots of planning anyway."
"GLGO054RA","Raz","Hmmm. I'm not picking up anything. Must not be any deep arrowheads nearby.","Hmmm. I'm not picking up anything. Must not be any deep arrowheads nearby."
"GLGO055RA","Raz","Got it!","Got it!"
"GLGO056RA","Raz","I can't wait to use Sasha's Psychic Portal Door and jump inside someone's head!","I can't wait to use Sasha's Psychic Portal Door and jump inside someone's head!"
"GLGO057RA","Raz","...for the good of the mission I mean.","...for the good of the mission I mean."
"GLGO058RA","Raz","No brain there to enter!","No brain there to enter!"
"GLZG024TO","System","In accordance with Section 3, Paragraph 1 of the ""Young Minds Protection Act,"" any device created for the purpose of invasive psychic procedure must have built-in safeguards which make its use upon anyone under the age of eighteen (18) impossible.","In accordance with Section 3, Paragraph 1 of the ""Young Minds Protection Act,"" any device created for the purpose of invasive psychic procedure must have built-in safeguards which make its use upon anyone under the age of eighteen (18) impossible."
"GLGO060RA","Raz","Darn.","Darn."
"GLAB000RA","Raz","Ohhh-oooh...","Ohhh-oooh..."
"GLAC000FO","Ford","Now don't pull that out while I'm physically near by, or I'm telling you I'm gonna eat it!","Now don't pull that out while I'm physically near by, or I'm telling you I'm gonna eat it!"
"GLAD000FO","Ford","Mmmmm, Bacon!","Mmmmm, Bacon!"
"GLAD001FO","Ford","There's that smell again.","There's that smell again."
"GLAD002FO","Ford","Deeeelicious.","Deeeelicious."
"GLAD003FO","Ford","Hey, why don't you just take a little nibble of that and see if I can taste it too?","Hey, why don't you just take a little nibble of that and see if I can taste it too?"
"GLAD004FO","Ford","Okay, what's the situation?","Okay, what's the situation?"
"GLAD005FO","Ford","Ahem.","Ahem."
"GLAE000RA","Raz","Agent Cruller. Do you have any advice on the current situation?","Agent Cruller. Do you have any advice on the current situation?"
"GLAE001RA","Raz","I need to regroup back at HQ.","I need to regroup back at HQ."
"GLAE002FO","Ford","Affirmative. Prepare for extraction.","Affirmative. Prepare for extraction."
"GLAE003FO","Ford","Talk to me when you want me to put you back where you were.","Talk to me when you want me to put you back where you were."
"GLAE004FO","Ford","Now don't wander off too far or I'll forget, and you'll have to go back there yourself.","Now don't wander off too far or I'll forget, and you'll have to go back there yourself."
"GLAE005RA","Raz","Need your analysis on a hostile.","Need your analysis on a hostile."
"GLAE006FO","Ford","What kind?","What kind?"
"GLAE007RA","Raz","Can I change the color of my Levitation Ball?","Can I change the color of my Levitation Ball?"
"GLAE008FO","Ford","Like, say... to what?","Like, say... to what?"
"GLAE009RA","Raz","Nothing more to report at this time.","Nothing more to report at this time."
"GLAE010FO","Ford","Cruller out.","Cruller out."
"GLAF000RA","Raz","Have you ever seen a plant with eyes and teeth?","Have you ever seen a plant with eyes and teeth?"
"GLAF001FO","Ford","Oh, yeah. The kind that's impervious to attack when it's curled up? Hate those.","Oh, yeah. The kind that's impervious to attack when it's curled up? Hate those."
"GLAF002FO","Ford","You gotta walk up just close enough to wake them up, and then PSI Blast 'em, real quick!","You gotta walk up just close enough to wake them up, and then PSI Blast 'em, real quick!"
"GLAF003RA","Raz","How do you fight censors?","How do you fight censors?"
"GLAF004FO","Ford","Ah, anything works on those guys. You can punch 'em, PSI Blast 'em...","Ah, anything works on those guys. You can punch 'em, PSI Blast 'em..."
"GLAF005FO","Ford","It's fun to set fire to them or confuse 'em too. Heh heh heh.","It's fun to set fire to them or confuse 'em too. Heh heh heh."
"GLAF006FO","Ford","Pick 'em up with TK and throw 'em. Make yourself invisible and sneak up on them.","Pick 'em up with TK and throw 'em. Make yourself invisible and sneak up on them."
"GLAF007FO","Ford","Lotsa fun, those guys.","Lotsa fun, those guys."
"GLAF008RA","Raz","What about those censors that shoot stuff?","What about those censors that shoot stuff?"
"GLAF009FO","Ford","Oh, you gotta grab those guys with your Mental Focus Lock, then you can jump left or right to avoid their shots, while PSI Blasting them from a distance.","Oh, you gotta grab those guys with your Mental Focus Lock, then you can jump left or right to avoid their shots, while PSI Blasting them from a distance."
"GLAF010RA","Raz","What about the really big, burly censors?","What about the really big, burly censors?"
"GLAF011FO","Ford","It's best if they can't see you, so go invisible when they come around.","It's best if they can't see you, so go invisible when they come around."
"GLAF012FO","Ford","Or burn them, or hit them with a confusion grenade if you're going for entertainment value.","Or burn them, or hit them with a confusion grenade if you're going for entertainment value."
"GLAF013RA","Raz","What if there's, like, a million, tiny censors. All over you?","What if there's, like, a million, tiny censors. All over you?"
"GLAF014FO","Ford","Ah, the Palm Bomb! Just jump up in the air and then punch!","Ah, the Palm Bomb! Just jump up in the air and then punch!"
"GLAF015FO","Ford","You'll come down so hard those little guys just pop like popcorn!","You'll come down so hard those little guys just pop like popcorn!"
"GLAF016RA","Raz","Have you ever been grabbed by a sucker fish?","Have you ever been grabbed by a sucker fish?"
"GLAF017FO","Ford","Oh, they can give you a nasty hickey. But if you jump twice and spin, you might be able to shake them off a little quicker.","Oh, they can give you a nasty hickey. But if you jump twice and spin, you might be able to shake them off a little quicker."
"GLAF018RA","Raz","The crayfish in the lake are bigger than what we got back home.","The crayfish in the lake are bigger than what we got back home."
"GLAF019FO","Ford","That's the Psitanium in the water. Makes a lot of the animals around here a little different.","That's the Psitanium in the water. Makes a lot of the animals around here a little different."
"GLAF020FO","Ford","At least those crayfish are fun to punch!","At least those crayfish are fun to punch!"
"GLAF021RA","Raz","Have you ever been confused by a rat?","Have you ever been confused by a rat?"
"GLAF022FO","Ford","All the time, until I figured out that if you firestart them, they don't set off a cloud of confusion.","All the time, until I figured out that if you firestart them, they don't set off a cloud of confusion."
"GLAF023RA","Raz","In Lungfishopolis, I'm really big, but there are these tanks...","In Lungfishopolis, I'm really big, but there are these tanks..."
"GLAF024FO","Ford","Do what any self-respecting monster would do!","Do what any self-respecting monster would do!"
"GLAF025FO","Ford","Pick 'em up! Throw them at something! Boom!","Pick 'em up! Throw them at something! Boom!"
"GLAF026FO","Ford","Ha! But if you're surrounded, don't forget your shield. And try to time it right.","Ha! But if you're surrounded, don't forget your shield. And try to time it right."
"GLAF027RA","Raz","Airplanes can be a pain, can't they?","Airplanes can be a pain, can't they?"
"GLAF028FO","Ford","Well you gotta shield until you see an opening, and then PSI Blast 'em out of the sky!","Well you gotta shield until you see an opening, and then PSI Blast 'em out of the sky!"
"GLAF029RA","Raz","Were you watching those Electro Trucks?","Were you watching those Electro Trucks?"
"GLAF030FO","Ford","Yeah, RUN AWAY. That's my advice there. PSI Blast them from a distance, or run around the side of them and smack them with your monster claw.","Yeah, RUN AWAY. That's my advice there. PSI Blast them from a distance, or run around the side of them and smack them with your monster claw."
