"Identifier","Context","Source string","Translation"
"SAFF001RA","Raz","This should stop any more censors from coming out of here.","Тепер звідси цензори не виходитимуть."
"SAFG001SA","Sasha","Destroy them all!","Знищ їх усіх!"
"SAFH002SA","Sasha","Well done, Raz. Keep shooting!","Чудово, Разпутіне. Продовжуй стріляти!"
"SAFH003SA","Sasha","Good. Again!","Добре. Ще раз!"
"SAFI004SA","Sasha","Razputin! You must blast the emergency shut-down valves!","Разпутіне! Стріляй у клапани аварійного відключення!"
"SAFI005SA","Sasha","It's the only way to close off the leak!","Лише так можна зупинити витік!"
"SAFI006SA","Sasha","Shut down all the valves on this face to get it under control!","Закрий усі клапани на цій стороні, щоб взяти її під контроль!"
"SAFI007SA","Sasha","Hurry, Razputin!","Швидше, Разпутіне!"
"SAAA000SA","Sasha","Yes, yes. We all know you can punch things.","Так, так. Усі ми знаємо, що махати кулаками ти вмієш."
"SAAA001SA","Sasha","But you're supposed to be learning how to use your PSI Blast now.","Але ти тут взагалі-то вчишся псипострілу."
"SAAA002SA","Sasha","Try it without punching.","Спробуй без ударів."
"SAAF000RA","Raz","That's it! I've completely blocked off all of Sasha's censor outlets!  I can't wait to tell him.","От і все! Я перекрив усі Сашині виходи цензорів! Не терпиться йому розповісти."
"SAAG000SA","Sasha","Enough horseplay, Razputin! Destroy him!","Годі бавитись, Разпутіне! Знищ його!"
"SAAG001SA","Sasha","The small censors are feeding into his strength. You must stop them!","Маленькі цензори підживлюють його силу. Зупини їх!"
"SAAG002SA","Sasha","Destroy the valves that are emitting the small censors, Razputin!","Закрий клапани, звідки лізуть цензори, Разпутіне!"
"SAAG003SA","Sasha","Raz! Shoot the valves! It's no use shooting the monster until you've destroyed every valve!","Разе! Стріляй по клапанах! Цьому здоровилу все одно, поки не знищиш їх усі!"
"SAAG004SA","Sasha","Don't forget to use your mental focus to lock on the valves as a target, and then blast them!","Не забувай тримати на клапанах свій ментальний приціл, а потім стріляй!"
"SAZE004TO","System","Use {LeftFlipper} to lock mental focus.","Використовуйте {LeftFlipper}, щоб тримати ментальний приціл."
"SAAG006SA","Sasha","Say, Razputin. Do you think you could reach in my pocket and hand me my cigarettes? ","Слухай, Разпутіне. Ніяк не дотягнуся до своєї кишені. Не подаси мені цигарки? "
"SAAG007SA","Sasha","Excellent! You've shut down the valves so he cannot be rejuvenated. Now destroy him!","Прекрасно! Ти перекрив усі клапани, тому він більше не регенеруватиметься. А тепер, знищ його!"
"SAAG008SA","Sasha","Use your mental focus Razputin! It will help you shoot accurately, and also help you with your evasive maneuvers!","Використовуй ментальний приціл, Разпутіне! З ним ти стрілятимеш влучніше та зможеш ухилятися!"
"SAAG009SA","Sasha","When focused, you can tumble to the side, avoid his stamp, and circle around behind the monster!","Тримаючи приціл, ти можеш відстрибувати в боки, ухилятися від його печаті та забігти монстру за спину!"
"SAAG010SA","Sasha","Watch out for those tumbling boils he's throwing at you. They're full of censors!","Стережися його кидків фурункулами. Вони повні цензорів!"
"SAAG011SA","Sasha","You can kill many small censors in one blow, if you jump up in the air above them and then smash the ground with your psychic fist.","Ти можеш убити багато дрібних цензорів одним ударом, якщо стрибнеш і навалишся на землю своїм псикулаком."
"SAZE005TO","System","Press {XButton} while airborne to execute a Palm Bomb.","Натисніть {XButton} у повітрі, щоб виконати УДАР ОБ ЗЕМЛЮ."
"SAAG013SA","Sasha","Oh, you. What a pleasant surprise.","О, ти теж тут. Оце так несподіванка."
"SAAG014SA","Sasha","Enough, Razputin! The beast must die, now!","Досить, Разпутіне! Цей звір повинен умерти, негайно!"
"SAAG015SA","Sasha","If you are mentally focused, and executing a sideways tumble, it will be very hard for him to stamp you.","Якщо ти ментально прицілишся й перекочуватимешся в боки, він тебе навряд чи спіймає своєю печаттю."
"SAAG016SA","Sasha","Razputin, if you could finish this off soon, I might get out of it with only a mild concussion.","Разпутіне, якщо ти з ним не затягуватимеш, я обійдуся лише легким струсом мозку."
"SAAG017SA","Sasha","What? Who's there? I think I've lost my vision!","Що? Хто там? Здається, я втратив зір!"
"SAAG018SA","Sasha","Why no, Aunt Bernie, of course I didn't get your phone calls or else I would have responded right away. ","Ні-ні, тітко Берні, авжеж я не чув жодних ваших телефонних дзвінків. Інакше б миттю відповів. "
"SAAG019SA","Sasha","My name is Yan Yanssen, I live in Wisconsin, I work in the lumber yard there...","Мене звати Ян Янсен, я живу у Вісконсині й працюю на лісопильні..."
"SAAG020SA","Sasha","La di da... do do da dum...","Ла-ді-да... ду-ду-да-дам..."
"SAAG021SA","Sasha","Wow. Okay, that last hit brought me back. Where was I?","Ох. Добре, цей удар вправив мені мізки. На чому я там зупинився?"
"SAAH000RA","Raz","Um, well, it sure seemed a lot bigger in my head.","Е-е, ну, в моїй голові воно виглядало значно більше."
"SAAH001SA","Sasha","Ah, problems often seem larger in our heads than they really are. That's an important lesson to learn.","А, проблеми часто здаються більшими, ніж вони є насправді. Важливо засвоїти цей урок."
"SAAH002RA","Raz","But--","Але..."
"SAAH003RA","Raz","Yes, but I was attacked in my own head.","Так, але на мене ж напали у моєму власному розумі."
"SAAH004SA","Sasha","Um... Well...","Е-е... Що ж..."
"SAAH005SA","Sasha","The machine is having a little trouble. I'm looking into it. Meanwhile...","Пристрій трохи барахлить. Я цим займуся. А поки що..."
"SAAH006SA","Sasha","As you absorb this energy, your mental health increases. ","Поглинаючи цю енергію, твоє ментальне здоров'я відновлюється. "
"SAAH007SA","Sasha","But as you PSI Blast, you expend your will to do damage. ","Але стріляючи, ти витрачаєш свою волю до руйнації. "
"SAAH008SA","Sasha","So be on the look out for these small, dense clusters of raw psychic aggression.","Тому шукай такі щільні скупчення чистої псіагресії."
"SAAH009SA","Sasha","Absorb these as well to make sure you always have enough firepower.","Поглинаючи їх, ти завжди матимеш достатньо вогневої міці."
"SAAH010RA","Raz","Hm. They're coming out faster but still not fast enough.","Гм. Вони вилітають швидше, але недостатньо швидко."
"SAAH011RA","Raz","Hm. Still not fast enough!","Гм. Досі заповільно!"
"SAAH012RA","Raz","Uh oh.","Ой-йой."
"SAAI000SA","Sasha","Good shooting, Raz, but you are making it harder than it needs to be. ","Гарно стріляєш, Разе, але ти сам собі ускладнюєш роботу. "
"SAAI001SA","Sasha","You need to practice locking your mental focus.","Попрактикуйся тримати свій ментальний приціл."
"SAAI002SA","Sasha","It makes targeting and evasive maneuvers much easier.","З ним цілитися та ухилятися набагато легше."
"SAAI003SA","Sasha","Let's try again, this time lock your mental focus.","Спробуй ще раз, але цього разу тримай ментальний приціл."
"SAAJ000SA","Sasha","Razputin, see those valves? That is where the censors are leaking out.","Разпутіне, бачиш ті клапани? Саме з них і лізуть цензори."
"SAAJ001SA","Sasha","PSI Blast the valves to shut them down and get this area under control!","Стріляй по клапанах, щоби закрити їх і взяти зону під контроль!"
"SAAJ002SA","Sasha","Good, now the next one. You have to get them all.","Добре, тепер наступний. Закрий їх усі."
"SAAJ003SA","Sasha","Good, well you got them all. ","Добре, ти впорався з усіма. "
"SAAJ004SA","Sasha","Oh, no. You close one leak down and another springs up!","О, ні. Щойно закрив один витік, як одразу прорвало інший!"
"SAAJ005SA","Sasha","Well come on. We've got to take care of these too!","Ну ж бо. Ми маємо про них подбати!"
"SAAK000SA","Sasha","Oh, no. What are you doing back in here?","О, ні. Чому ти раптом повернувся?"
"SAAK001RA","Raz","Practicing.","Хочу потренуватись."
"SAAK002SA","Sasha","Oh, would you like to run the course again?","О, то ти знову хочеш пройти той іспит?"
"SAAK003RA","Raz","Yeah, I--run the course? But all that censor overload stuff... that was an accident. ","Так, я... заждіть, іспит? Але ж усе це скупчення цензорів... було незапланованим. "
"SAAK004SA","Sasha","Oh, Raz. I knew you were going to overload that switch. I would have done the same thing at your age.","Ой, Разе. Звісно я знав, що ти перевантажиш той перемикач. У твоєму віці я робив те саме."
"SAAK005SA","Sasha","It was all arranged to make you an expert fighter. And it worked.","Я все підлаштував, щоб зробити з тебе першокласного воїна. І це спрацювало."
"SAAK006SA","Sasha","Now, if you'd like to run the course again, just shoot the controller on any given face.","Власне, якщо захочеш повторити цей іспит, просто стрільни в знак на будь-якій стороні."
"SAAK007SA","Sasha","To close that face up and open another, shoot any censor valves you see.","А щоб закрити одну сторону й відкрити іншу, підстрель усі клапани цензорів."
"SAAK008SA","Sasha","Fair enough?","Домовились?"
"SAAK009RA","Raz","Even the part where the giant censor had you on the stamp?","Навіть те, що ви застрягли на печаті мегацензора, було запланованим?"
"SAAK010SA","Sasha","Okay, that part got a little out of hand. We won't be seeing him again.","Ну, ця частина трохи вийшла з-під контролю. Але ти його більше не побачиш."
"SAAK011SA","Sasha","Razputin! I'm so glad to see you. What's happened?","Разпутіне! Я так радий тебе бачити. Що сталося?"
"SAAK012RA","Raz","Coach Oleander is trying to take over the world with a fleet of psychic death tanks, armed with the stolen brains of my fellow campers.","Тренер Олеандр намагається захопити свій армією смертельних психотанків, озброєних викраденими мізками моїх товаришів по табору."
"SAAK013RA","Raz","Where are you?","Ви де?"
"SAAK014SA","Sasha","I... I have no idea. I seem to be... asleep... or in a trance...","Я... Я не знаю. Таке відчуття ніби я... сплю... чи в трансі..."
"SAAK015RA","Raz","Well don't worry about it. Ford and I are on the case.","Що ж, не хвилюйтеся. Ми з Фордом уже працюємо над цим."
"SAAK016SA","Sasha","Okay. I'd love to join you, but I think I need to focus on maintaining some level of brain activity.","Гаразд. Був би радий доєднатися, але зараз мені треба підтримувати бодай якийсь рівень мозкової активності."
"SAAK017RA","Raz","Ooh, I can help with that! Let me shoot up the place!","О-о, можу вам допомогти! Зараз тут постріляю!"
"SAZE000TO","System","Move RIGHT {Joystick} while holding {LeftFlipper} to switch targets.","Рухайте ПРАВИЙ {Joystick}, тримаючи {LeftFlipper} для перемикання цілей."
"SAZE001TO","System","Press {RightFlipper} to shoot.","Натисніть {RightFlipper}, щоб стрільнути."
"SAZE002TO","System","Hold {LeftFlipper} to lock on to a target.","Тримайте {LeftFlipper}, щоб прицілитися на об'єкт."
"SAZE003TO","System","Hold {LeftFlipper} to lock on, then press {RightFlipper}","Тримайте {LeftFlipper}, щоб цілитися, а потім натисніть {RightFlipper}"
"SAZF000TO","System","When your MENTAL FOCUS is LOCKED, press {AButton} and move the LEFT {Joystick} to execute a fast tumble in any direction. Very useful for circling your enemies!","Тримаючи МЕНТАЛЬНИЙ ПРИЦІЛ, рухайтесь у будь-якому напрямку за допомогою ЛІВОГО {Joystick} і натискайте {AButton}. Це дуже корисно для оточення ворогів!"
"SAZF001TO","System","DAILY MAXIMUM REACHED for this Censor output setting. Please increase Censor output setting if more Censors are desired.","Досягнуто ДЕННИЙ МАКСИМУМ цензорів на цьому рівні частоти. Будь ласка, збільште частоту виходу цензорів, якщо прагнете більше."
"SAAM000SA","Sasha","Enough horseplay, Razputin!","Годі бавитись, Разпутіне!"
"SAAK018SA","Sasha","Razputin, instead of that why don't you help me free Ms. Zanotto?","Разпутіне, може замість цього краще допоможеш мені звільнити пані Занотто?"
