"Identifier","Context","Source string","Translation"
"ASBR171BO","Boyd","But what if the signal comes early?","But what if the signal comes early?"
"ASBR172BO","Boyd","The meaty bit in the middle of this won ton, it's me!","The meaty bit in the middle of this won ton, it's me!"
"ASBR173BO","Boyd","Hey, don't worry about me. I'm centered. I'm the whole center in fact.","Hey, don't worry about me. I'm centered. I'm the whole center in fact."
"ASBR174BO","Boyd","Am I? Or is he? Am I he? What is he doing in my house?","Am I? Or is he? Am I he? What is he doing in my house?"
"ASBR175BO","Boyd","Someone moved into my neighborhood, uninvited.","Someone moved into my neighborhood, uninvited."
"ASBR176BO","Boyd","The housing committee's not going to like this.","The housing committee's not going to like this."
"ASBR177BO","Boyd","They should paint their garage door the same color as everybody else's.","They should paint their garage door the same color as everybody else's."
"ASBR178BO","Boyd","I'm locked on the outside, and I'm locked on the inside.","I'm locked on the outside, and I'm locked on the inside."
"ASBR179BO","Boyd","And the little girl stuck her finger in the dyke and saved all the windmills. But who does the little girl work for?","And the little girl stuck her finger in the dyke and saved all the windmills. But who does the little girl work for?"
"ASBR180BO","Boyd","Hey, little girl! Get your finger out of there!","Hey, little girl! Get your finger out of there!"
"ASBR181BO","Boyd","Ha! I know what you're up to.","Ha! I know what you're up to."
"ASBR182BO","Boyd","You've got the skates, but I've got the key!","You've got the skates, but I've got the key!"
"ASBR183BO","Boyd","Who is the Milkman???","Who is the Milkman???"
"ASBR184BO","Boyd","You know my house is clean, right? Right boss??","You know my house is clean, right? Right boss??"
"ASBR185BO","Boyd","Get off of me!","Get off of me!"
"ASBR186BO","Boyd","I don't want any half and half! I'm already half and half!!","I don't want any half and half! I'm already half and half!!"
"ASBR187BO","Boyd","If I'm invisible, then why is everyone looking at me?","If I'm invisible, then why is everyone looking at me?"
"ASBR188BO","Boyd","...heh heh.","...heh heh."
"ASBR189BO","Boyd","...ho, ho!...","...ho, ho!..."
"ASBR190BO","Boyd","...wait...","...wait..."
"ASBR191BO","Boyd","...er...","...er..."
"ASBR192BO","Boyd","...uh...","...uh..."
"ASBR193BO","Boyd","...(cough)...","...(cough)..."
"ASBR194BO","Boyd","...uhhhh...","...uhhhh..."
"ASBR195BO","Boyd","...hmmmm...","...hmmmm..."
"ASBR196BO","Boyd","...ha!...","...ha!..."
"ASBR197BO","Boyd","...yeah, yeah, yeah...","...yeah, yeah, yeah..."
"ASBR198BO","Boyd","...what?...","...what?..."
"ASBR199BO","Boyd","...no, no, no, no...","...no, no, no, no..."
"ASBR200BO","Boyd","...okay, okay, but","...okay, okay, but"
"ASBR201BO","Boyd","...huh...","...huh..."
"ASBR202BO","Boyd","...riiiiiiight...","...riiiiiiight..."
"MMDD001DM","Den-Mother","What have you done?","What have you done?"
"MMDD002DM","Den-Mother","He wakes!","He wakes!"
"MMDD003BO","Boyd","I am the Milkman. My milk is delicious.","I am the Milkman. My milk is delicious."
"MMDD004DM","Den-Mother","And the sea shall run white (cough cough) with his rage","And the sea shall run white (cough cough) with his rage"
"MMDD005RS","Rainbow-Squirt","Ooooh ohhhh.","Ooooh ohhhh."
"MMDD007BO","Boyd","Special delivery today.","Special delivery today."
"MMDD008BO","Boyd","GRAAAAAA!","GRAAAAAA!"
"MMDD010RA","Raz","Boyd? Are you okay?","Boyd? Are you okay?"
"MMDD011BO","Boyd","Time for the final delivery to this address.","Time for the final delivery to this address."
"MMDD012RA","Raz","Hey, is that milk regular kind, or the exploding dream kind?","Hey, is that milk regular kind, or the exploding dream kind?"
"MMDD013BO","Boyd","It's fortified with what the world wants, what the world deserves.","It's fortified with what the world wants, what the world deserves."
"MMDD014RA","Raz","Are you sure don't want to just talk about this, Boyd?","Are you sure don't want to just talk about this, Boyd?"
"MMDF001DM","Den-Mother","I told you not to follow. Now you must die!","I told you not to follow. Now you must die!"
"MMDF002RA","Raz","But--","But--"
"MMDF003DM","Den-Mother","THAT IS THE WAY OF THE RAINBOW SQUIRTS!!!","THAT IS THE WAY OF THE RAINBOW SQUIRTS!!!"
"MMDM001RA","Raz","Ah ha!","Ah ha!"
"MMDM002DM","Den-Mother","Oh, hello there. Have you come to pay for your Rainbow Treats? We knew you would.","Oh, hello there. Have you come to pay for your Rainbow Treats? We knew you would."
"MMDM003DM","Den-Mother","Won't you join us in our Rainbow Squirt Pledge of Purpose?","Won't you join us in our Rainbow Squirt Pledge of Purpose?"
"MMDM004RS","Rainbow-Squirt","To Promote Niceness.","To Promote Niceness."
"MMDM005RS","Rainbow-Squirt","To Make the World Prettier.","To Make the World Prettier."
"MMDM006RS","Rainbow-Squirt","To Share Candy With Everyone.","To Share Candy With Everyone."
"MMDM007RS","Rainbow-Squirt","To Obfuscate the True Nature of the Milkman.","To Obfuscate the True Nature of the Milkman."
"MMDM009RS","Rainbow-Squirt","To protect the Milkman at all costs.","To protect the Milkman at all costs."
"MMDM010DM","Den-Mother","You brought them here!","You brought them here!"
"MMDM011RS","Rainbow-Squirt","To Destroy All Who Would Harm the Milkman, or Threaten to Reveal His Secret Objective.","To Destroy All Who Would Harm the Milkman, or Threaten to Reveal His Secret Objective."
"MMDM012DM","Den-Mother","Go girls! Protect the milk!","Go girls! Protect the milk!"
"MMDM014DM","Den-Mother","Do not follow! The milk is not ready, and you are not ready for the milk!","Do not follow! The milk is not ready, and you are not ready for the milk!"
"MMDS001DM","Den-Mother","Hi-ya!","Hi-ya!"
"MMDS002DM","Den-Mother","Haaa!","Haaa!"
"MMDS003DM","Den-Mother","Hruuuh!","Hruuuh!"
"MMDS004DM","Den-Mother","Cha!","Cha!"
"MMDS005DM","Den-Mother","Eyyyah!","Eyyyah!"
"MMDS006DM","Den-Mother","Rainbow squirts do not negotiate!","Rainbow squirts do not negotiate!"
"MMDS007DM","Den-Mother","Eat yarn!","Eat yarn!"
"MMDS012DM","Den-Mother","To Protect the Milkman at all Costs.","To Protect the Milkman at all Costs."
"MMTW002BO","Boyd","Must make... final... delivery.","Must make... final... delivery."
"MMTW003BO","Boyd","My milk... is... delicious.","My milk... is... delicious."
"MMTW004BO","Boyd","People... gotta... have their milk.","People... gotta... have their milk."
"MMTW005BO","Boyd","Milk will get warm. Milk is a drink best served cold!","Milk will get warm. Milk is a drink best served cold!"
"MMTW006BO","Boyd","Rrrrr!","Rrrrr!"
"MMTW007BO","Boyd","Grrrr!","Grrrr!"
"MMIN000BO","Boyd","It's perfect, isn't it?","It's perfect, isn't it?"
"MMIN001RA","Raz","Yes.","Yes."
"MMIN002BO","Boyd","Almost complete. Just a few missing pieces.","Almost complete. Just a few missing pieces."
"MMIN003RA","Raz","Yes. Now which piece talks about the Milkman? The one who opens the asylum gate?","Yes. Now which piece talks about the Milkman? The one who opens the asylum gate?"
"MMIN004BO","Boyd","But it's ALL about the Milkman, can't you see?","But it's ALL about the Milkman, can't you see?"
"MMIN005RA","Raz","Is this like one of those 3D paintings? I can never do those.","Is this like one of those 3D paintings? I can never do those."
"MMIN006BO","Boyd","No, you just gotta learn to see it like I see it!","No, you just gotta learn to see it like I see it!"
"MMIN007BO","Boyd","There's something in the fridge that might help you see the world like I do.","There's something in the fridge that might help you see the world like I do."
"MMIN008RA","Raz","Oooh, sorry. I don't drink--before noon, I mean.","Oooh, sorry. I don't drink--before noon, I mean."
"MMAC000RA","Raz","Did you say the Milkman was in the fridge?","Did you say the Milkman was in the fridge?"
"MMAC001BO","Boyd","Use the leftovers in the fridge to see what I see!","Use the leftovers in the fridge to see what I see!"
"MMAC002RA","Raz","The Milkman's dead??? Ah crud.","The Milkman's dead??? Ah crud."
"MMAC003BO","Boyd","Burned up in a department store fire. Didn't you hear?","Burned up in a department store fire. Didn't you hear?"
"MMAC005BO","Boyd","...Is he dead or not?","...Is he dead or not?"
"MMAC007RA","Raz","Where is the Milkman?","Where is the Milkman?"
"MMAC008BO","Boyd","Well, he's NOT in the graveyard, so that's the first place you should look.","Well, he's NOT in the graveyard, so that's the first place you should look."
"MMAC009BO","Boyd","I'd go down there myself, but I can't get in.","I'd go down there myself, but I can't get in."
"MMAC010BO","Boyd","Operatives. Optics. Occularities.","Operatives. Optics. Occularities."
"MMAC011BO","Boyd","Everywhere.","Everywhere."
"MMAC012BO","Boyd","Be careful! They're watching. All the time.","Be careful! They're watching. All the time."
"MMAC013RA","Raz","Kay...","Kay..."
"MMAC014RA","Raz","Now, how am I going to find some creepy graveyard in this... nice, normal, neighborhood?","Now, how am I going to find some creepy graveyard in this... nice, normal, neighborhood?"
"MMAC015RA","Raz","You know, I think instead of Boyd, I'm gonna call you ""Roid,"" because your such a big pain in my butt.","You know, I think instead of Boyd, I'm gonna call you ""Roid,"" because your such a big pain in my butt."
"MMAC004BO","Boyd","At least that's what the media would have you believe.","At least that's what the media would have you believe."
"MMAC006BO","Boyd","Go to the graveyard! Dig him up! Oh, you'll find something all right, but it's neither man nor milk.","Go to the graveyard! Dig him up! Oh, you'll find something all right, but it's neither man nor milk."
"MMAA000RA","Raz","Hey, uh... where's the door?","Hey, uh... where's the door?"
"MMAA001BO","Boyd","On the front... like most refrigerators.","On the front... like most refrigerators."
"MMAA002RA","Raz","Alright, time to see the world as Boyd sees it.","Alright, time to see the world as Boyd sees it."
"MMAA003RA","Raz","Okay, so, where's the Milkman?","Okay, so, where's the Milkman?"
"MMAA004BO","Boyd","If you could see what I see, then you wouldn't be asking that question.","If you could see what I see, then you wouldn't be asking that question."
"MMAA005RA","Raz","How do I get through the sewers?","How do I get through the sewers?"
"MMAA006BO","Boyd","Have you been to the post office yet? Maybe you could take a correspondence course.","Have you been to the post office yet? Maybe you could take a correspondence course."
"MMAA007RA","Raz","Being an assassin is hard.","Being an assassin is hard."
"MMAA008BO","Boyd","You have to keep your guard up at all times. You gotta be like a turtle with a rocket strapped to his back, you know?","You have to keep your guard up at all times. You gotta be like a turtle with a rocket strapped to his back, you know?"
"MMAA009RA","Raz","Okay, I went to the Book Depository, and all that happened was a little girl jumped out a window. It was kind of depressing, actually.","Okay, I went to the Book Depository, and all that happened was a little girl jumped out a window. It was kind of depressing, actually."
"MMAA010BO","Boyd","Did you talk to the birds up there? Did you ask them if they saw anything with their electric eyes?","Did you talk to the birds up there? Did you ask them if they saw anything with their electric eyes?"
"MMAA011RA","Raz","Hey, I found the Milkman.","Hey, I found the Milkman."
"MMAA012BO","Boyd","Big deal. I knew where he was the whole time. Getting past the red head, that's the problem.","Big deal. I knew where he was the whole time. Getting past the red head, that's the problem."
"MMAB000GM","G-Man","Stop.","Stop."
"MMAB001GM","G-Man","Caution, men working.","Caution, men working."
"MMAB002GM","G-Man","Dangerous conditions ahead.","Dangerous conditions ahead."
"MMAB003GM","G-Man","The road is out, and we are working on it.","The road is out, and we are working on it."
"MMAB004GM","G-Man","No pedestrian traffic allowed.","No pedestrian traffic allowed."
"MMAB005GM","G-Man","It is very hot here, working on the road.","It is very hot here, working on the road."
"MMAB006GM","G-Man","Not a through street.","Not a through street."
"MMAB007GM","G-Man","My red sign helps me work on the road.","My red sign helps me work on the road."
"MMAB008GM","G-Man","No ped xing.","No ped xing."
"MMAB009GM","G-Man","Slow to 15 mph.","Slow to 15 mph."
"MMAB010GM","G-Man","I work on the road crew.","I work on the road crew."
"MMAB011GM","G-Man","Thank goodness it is Friday. ","Thank goodness it is Friday. "
"MMAB012GM","G-Man","Being on a road crew is arduous, but rewarding.","Being on a road crew is arduous, but rewarding."
"MMAB013GM","G-Man","Look at that woman's breasts. They're large.","Look at that woman's breasts. They're large."
"MMAB014GM","G-Man","I cannot wait until the next payday.","I cannot wait until the next payday."
"MMAB015GM","G-Man","Boo hoo. ","Boo hoo. "
"MMAB016GM","G-Man","Oh boo hoo.","Oh boo hoo."
"MMAB017GM","G-Man","Boo hoo hoo.","Boo hoo hoo."
"MMAB018GM","G-Man","I am sad.","I am sad."
"MMAB019GM","G-Man","I am a sad widow.","I am a sad widow."
"MMAB020GM","G-Man","I wish my loved one was not dead, but alive.","I wish my loved one was not dead, but alive."
"MMAB021GM","G-Man","I am alone now, and grieving.","I am alone now, and grieving."
"MMAB022GM","G-Man","I do not know whether to remarry, or to remain loyal to my loved one.","I do not know whether to remarry, or to remain loyal to my loved one."
"MMAB023GM","G-Man","Why, god, why?","Why, god, why?"
"MMAB024GM","G-Man","These flowers are a token of my remembrance for my loved one.","These flowers are a token of my remembrance for my loved one."
"MMAB025GM","G-Man","I wish my loved one had remembered to indicate me as the beneficiary of his 401(k) plan.","I wish my loved one had remembered to indicate me as the beneficiary of his 401(k) plan."
"MMAB026GM","G-Man","The cemetery is filled with dead people.","The cemetery is filled with dead people."
"MMAB027GM","G-Man","The dead people are under ground, and I have brought flowers, because I am sad.","The dead people are under ground, and I have brought flowers, because I am sad."
"MMAB028GM","G-Man","I am trimming this hedge.","I am trimming this hedge."
"MMAB029GM","G-Man","Hedges become unruly over time, and need to be trimmed.","Hedges become unruly over time, and need to be trimmed."
"MMAB030GM","G-Man","These are my hedge trimmers. They help me maintain my hedge.","These are my hedge trimmers. They help me maintain my hedge."
"MMAB031GM","G-Man","I take pride in my well-landscaped yard.","I take pride in my well-landscaped yard."
"MMAB032GM","G-Man","My good landscaping adds to the property value of the entire neighborhood.","My good landscaping adds to the property value of the entire neighborhood."
"MMAB033GM","G-Man","Cutting the bush does not hurt it.","Cutting the bush does not hurt it."
"MMAB034GM","G-Man","I wear sunscreen while cutting hedges to prevent melanomas from forming on my skin.","I wear sunscreen while cutting hedges to prevent melanomas from forming on my skin."
"MMAB035GM","G-Man","This part of the hedge is too tall.","This part of the hedge is too tall."
"MMAB036GM","G-Man","I take frequent breaks to avoid carpal tunnel syndrome.","I take frequent breaks to avoid carpal tunnel syndrome."
"MMAB037GM","G-Man","I am making a pie.","I am making a pie."
"MMAB038GM","G-Man","This is my house and I am responsible for its upkeep.","This is my house and I am responsible for its upkeep."
