"identifier","labels","context","source","translation"
"WWAJ004KN","WWAJ","Knight","No, I'm not sick. I just can't find any decent food around here. An army moves on its stomach, you know. An elite force such as I require an elite cuisine, I'm afraid.","No, I'm not sick. I just can't find any decent food around here. An army moves on its stomach, you know. An elite force such as I require an elite cuisine, I'm afraid."
"WWAJ006KN","WWAJ","Knight","Only the best, young lad. I am a Frenchman, and anything but the finest French delicacy might bruise my palette, and leave me unable to storm anything, save the vomitorium.","Only the best, young lad. I am a Frenchman, and anything but the finest French delicacy might bruise my palette, and leave me unable to storm anything, save the vomitorium."
"WWAJ011KN","WWAJ","Knight","Ooh, that sounds like a grand plan, sir. But not on an empty stomach. ","Ooh, that sounds like a grand plan, sir. But not on an empty stomach. "
"WWAJ012KN","WWAJ","Knight","I'm sure you understand.","I'm sure you understand."
"WWAK002CN","WWAK","Carpenter","Okay, here I come.","Okay, here I come."
"WWAL004P1","WWAL","Peasant-1","Okay, hurl my innocent bones into the cruel machine of war. I'm ready.","Okay, hurl my innocent bones into the cruel machine of war. I'm ready."
"WWAM002P2","WWAM","Peasant-2","Honey, we can finally buy food for the children!","Honey, we can finally buy food for the children!"
"WWAM006P2","WWAM","Peasant-2","Anyway, let's go! War ahoy and all that stuff!","Anyway, let's go! War ahoy and all that stuff!"
"WWAN005P3","WWAN","Peasant-3","Okay, but just as practice.","Okay, but just as practice."
"WWAO001SN","WWAO","Snails","SO BE IT!!!","SO BE IT!!!"
"WWAO002SN","WWAO","Snails","If it is truly a time of war then we are ready. We can no longer pull our heads into our shells and hide. We are, after all, armored warriors, and this is our land too. We may not be fast, but we always march upon the glittering path of righteousness, for we create it ourselves from our hearts. Lead us onward, and let us eat holes in the leaves of Napoleon's garden.","If it is truly a time of war then we are ready. We can no longer pull our heads into our shells and hide. We are, after all, armored warriors, and this is our land too. We may not be fast, but we always march upon the glittering path of righteousness, for we create it ourselves from our hearts. Lead us onward, and let us eat holes in the leaves of Napoleon's garden."
"WWAQ002KN","WWAQ","Knight","Delicious!","Delicious!"
"WWAQ003KN","WWAQ","Knight","I haven't had escargot like that since the Duchess' birthday. But even those were not so full of... spirit!","I haven't had escargot like that since the Duchess' birthday. But even those were not so full of... spirit!"
"WWAQ005KN","WWAQ","Knight","But do hurry. I believe I may be hungry again soon.","But do hurry. I believe I may be hungry again soon."
"WWAR004CN","WWAR","Carpenter","Aw, man.","Aw, man."
"WWAR001CN","WWAR","Carpenter","Yes sir!","Yes sir!"
"WWAR006CN","WWAR","Carpenter","How about you fly me over there?","How about you fly me over there?"
"WWAR007CN","WWAR","Carpenter","My legs seem to be glued onto this base. Which is kind of weird.","My legs seem to be glued onto this base. Which is kind of weird."
"WWAR008RA","WWAR","Raz","Good work on that bridge there.","Good work on that bridge there."
"WWAR009CN","WWAR","Carpenter","Yeah, I think I nailed that one.","Yeah, I think I nailed that one."
"WWAR010CN","WWAR","Carpenter","Haha! Carpenter joke!","Haha! Carpenter joke!"
"WWAS001MM","WWAS","MM","I'm on it! But I can't get over that broken bridge there.","I'm on it! But I can't get over that broken bridge there."
"WWAS002MM","WWAS","MM","Maybe you could get that lazy Carpenter to fix it?","Maybe you could get that lazy Carpenter to fix it?"
"WWAS004MM","WWAS","MM","Okay, I'm ready.","Okay, I'm ready."
"WWAS005MM","WWAS","MM","Now put me right next to Napoleon's lackey and you'll see some action!","Now put me right next to Napoleon's lackey and you'll see some action!"
"WWAT007KN","WWAT","Knight","Right, well, just move me over there and take that snail!","Right, well, just move me over there and take that snail!"
"WWAT009KN","WWAT","Knight","Stronghold!","Stronghold!"
"WWAV001RA","WWAV","Raz","Give up while you can. Fred's gonna win.","Give up while you can. Fred's gonna win."
"WWAV002SD","WWAV","Soldier","Hahaha.","Hahaha."
"WWAV003SD","WWAV","Soldier","HAHAHAHA!","HAHAHAHA!"
"WWAV005SD","WWAV","Soldier","But that would be--how you say, ah--cheating.","But that would be--how you say, ah--cheating."
"WWAW004SD","WWAW","Soldier","Haha! Suck on that, bridge!","Haha! Suck on that, bridge!"
"WWAW008NP","WWAW","Napoleon","Ha ha! I like your je ne sais quoi! Your JOI DE VIVRE! Maybe you will teach my long-legged nincompoop a lesson, eh? Alors!","Ha ha! I like your je ne sais quoi! Your JOI DE VIVRE! Maybe you will teach my long-legged nincompoop a lesson, eh? Alors!"
"WWAX000CN","WWAX","Carpenter","Aw now who went and broke my beautiful bridge?","Aw now who went and broke my beautiful bridge?"
"WWAZ000KN","WWAZ","Knight","I would love to slay that enemy soldier, but I am afraid I must save all of my energy for the stronghold. I have only eaten enough to last me through one great struggle, you see.","I would love to slay that enemy soldier, but I am afraid I must save all of my energy for the stronghold. I have only eaten enough to last me through one great struggle, you see."
"WWBC003SN","WWBC","Snails","Yeah! Us too! Victory!","Yeah! Us too! Victory!"
"WWAM005P2","WWAM","Peasant-2","I just hope she doesn't spend it all on scrapbook-making supplies. She's gone nuts about that stuff. Part of the reason I'm so ready to die. ","I just hope she doesn't spend it all on scrapbook-making supplies. She's gone nuts about that stuff. Part of the reason I'm so ready to die. "
"WWAD001FR","WWAD","Fred","What? I care!","What? I care!"
"WWAD002NP","WWAD","Napoleon","Then lead them into victory, milky toast!","Then lead them into victory, milky toast!"
"WWAD003FR","WWAD","Fred","Shut up!","Shut up!"
"WWAD005FR","WWAD","Fred","What do they want from me? A notice on my official stationary that says I'd be sad if they died?","What do they want from me? A notice on my official stationary that says I'd be sad if they died?"
"WWAD006RA","WWAD","Raz","Yep.","Yep."
"WWAD008FR","WWAD","Fred","Well, if that doesn't work...","Well, if that doesn't work..."
"WWAD009RA","WWAD","Raz","Let me guess: you give up?","Let me guess: you give up?"
"WWAD010FR","WWAD","Fred","Bingo!","Bingo!"
"WWAD011NP","WWAD","Napoleon","Ha! Another game at which I would surely defeat you!","Ha! Another game at which I would surely defeat you!"
"WWAE000RA","WWAE","Raz","So it's time to recruit some more troops.","So it's time to recruit some more troops."
"WWAE001FR","WWAE","Fred","Hey, no prob. I'll just write up some more 'I care' notes.","Hey, no prob. I'll just write up some more 'I care' notes."
"WWAE003FR","WWAE","Fred","I don't really have any money. Well I did have this really valuable collector's coin...","I don't really have any money. Well I did have this really valuable collector's coin..."
"WWAE004NP","WWAE","Napoleon","Passed down through generations from my father's father!","Passed down through generations from my father's father!"
"WWAE005FR","WWAE","Fred","Whatever.","Whatever."
"WWAE007NP","WWAE","Napoleon","You WHAT!?!","You WHAT!?!"
"WWAE008FR","WWAE","Fred","I needed more weight in my pinewood derby racer. Not that it would have helped, the way I lost.","I needed more weight in my pinewood derby racer. Not that it would have helped, the way I lost."
"WWAE012NP","WWAE","Napoleon","Generations of royal inbreeding down the drain!","Generations of royal inbreeding down the drain!"
"WWAE015FR","WWAE","Fred","Knock yourself out. I've got enough memories of my dumb ancestors hanging around!","Knock yourself out. I've got enough memories of my dumb ancestors hanging around!"
"WWAE016NP","WWAE","Napoleon","Grr!","Grr!"
"WWAF000RA","WWAF","Raz","Hello in there! Any Carpenters home?","Hello in there! Any Carpenters home?"
"WWAF002RA","WWAF","Raz","I'm not a burglar! I'm a recruiter for Fred Bonaparte's army. We're a little light in our corps of engineers, see...","I'm not a burglar! I'm a recruiter for Fred Bonaparte's army. We're a little light in our corps of engineers, see..."
"WWAF004RA","WWAF","Raz","Okay, if I'm a burglar, then how can I be down here talking to you AND up on the roof at the same time?","Okay, if I'm a burglar, then how can I be down here talking to you AND up on the roof at the same time?"
"WWAF006RA","WWAF","Raz","Listen, if I go see what's up on your roof and take care of it, will you come out and help fight Napoleon?","Listen, if I go see what's up on your roof and take care of it, will you come out and help fight Napoleon?"
"WWAF009RA","WWAF","Raz","Hey, how do I get up on your roof?","Hey, how do I get up on your roof?"
"WWAG000RA","WWAG","Raz","Hello, I'm recruiting for the Army of Fred Bonaparte, and--","Hello, I'm recruiting for the Army of Fred Bonaparte, and--"
"WWAG002RA","WWAG","Raz","What? Fred loves the people! He was just telling me that some of his best friends are, um... the people.","What? Fred loves the people! He was just telling me that some of his best friends are, um... the people."
"WWAG004RA","WWAG","Raz","Look I'll tell you what: I'll talk to Fred. I'll talk to him, and I'll prove to you that he cares about the common man, and that the fight is not meaningless.","Look I'll tell you what: I'll talk to Fred. I'll talk to him, and I'll prove to you that he cares about the common man, and that the fight is not meaningless."
"WWAG006RA","WWAG","Raz","Hey, we really need your help out here on the battlefield!","Hey, we really need your help out here on the battlefield!"
"WWAG008RA","WWAG","Raz","Oh yeah, that's what I was supposed to do!","Oh yeah, that's what I was supposed to do!"
"WWAH000RA","WWAH","Raz","Hi, is this big soldier buggin' you?","Hi, is this big soldier buggin' you?"
"WWAH002RA","WWAH","Raz","Well, why don't you come out here and fight him?","Well, why don't you come out here and fight him?"
"WWAH004RA","WWAH","Raz","Uh... Freedom?","Uh... Freedom?"
"WWAH007RA","WWAH","Raz","I'm recruiting for Fred Bonaparte's army, and Fred really cares--","I'm recruiting for Fred Bonaparte's army, and Fred really cares--"
"WWAH009RA","WWAH","Raz","What?","What?"
"WWAH011RA","WWAH","Raz","Well, I could talk to Fred...","Well, I could talk to Fred..."
"WWAH013RA","WWAH","Raz","What's all this talk of death? We're going to win!","What's all this talk of death? We're going to win!"
"WWAI000RA","WWAI","Raz","Hello? I'm recruiting--","Hello? I'm recruiting--"
"WWAI002RA","WWAI","Raz","Um, he left. He said he had to go to the bathroom, and he left.","Um, he left. He said he had to go to the bathroom, and he left."
"WWAI008RA","WWAI","Raz","That's the spirit!","That's the spirit!"
"WWAI011RA","WWAI","Raz","Be right back!","Be right back!"
"WWAJ000RA","WWAJ","Raz","Hello?","Hello?"
"WWAJ002RA","WWAJ","Raz","Oh, okay.","Oh, okay."
"WWAJ005RA","WWAJ","Raz","Oh, well, I'll keep on the lookout for some place with good take out.","Oh, well, I'll keep on the lookout for some place with good take out."
"WWAJ007RA","WWAJ","Raz","Ew.","Ew."
"WWAJ008RA","WWAJ","Raz","Hey, are you feeling any better?","Hey, are you feeling any better?"
"WWAJ009RA","WWAJ","Raz","If we storm Napoleon's stronghold, we win the game, you know.","If we storm Napoleon's stronghold, we win the game, you know."
"WWAJ010RA","WWAJ","Raz","Beat Napoleon and everything...","Beat Napoleon and everything..."
"WWAK000RA","WWAK","Raz","Okay, you can come out. Burglar's gone.","Okay, you can come out. Burglar's gone."
"WWAK001CN","WWAK","Carpenter","Wow. You're pretty tough for a ventriloquist.","Wow. You're pretty tough for a ventriloquist."
"WWAK003CN","WWAK","Carpenter","Just show me where there's some wood to work on and I'll go to town.","Just show me where there's some wood to work on and I'll go to town."
"WWAL000RA","WWAL","Raz","Hey, I have an important message from your fearless leader.","Hey, I have an important message from your fearless leader."
"WWAL001P1","WWAL","Peasant-1","Oh my god! He does care! He does! I knew it! Fred Bonaparte is the greatest leader of all time! I can't wait to die for his cause!","Oh my god! He does care! He does! I knew it! Fred Bonaparte is the greatest leader of all time! I can't wait to die for his cause!"
"WWAL002RA","WWAL","Raz","Well, you might not die. You might win!","Well, you might not die. You might win!"
"WWAL003P1","WWAL","Peasant-1","Hey, he's a great leader but... he's still Fred.","Hey, he's a great leader but... he's still Fred."
"WWAM000RA","WWAM","Raz","Okay, we had a deal!","Okay, we had a deal!"
"WWAM001P2","WWAM","Peasant-2","MONEY! OH MAN!","MONEY! OH MAN!"
"WWAM003P2","WWAM","Peasant-2","Well, I'm off to die in battle, dear, for an incompetent leader who will never know my name. I hope you remarry well!","Well, I'm off to die in battle, dear, for an incompetent leader who will never know my name. I hope you remarry well!"
"WWAM004RA","WWAM","Raz","More of that negative talk...","More of that negative talk..."
"WWAN000RA","WWAN","Raz","Okay, there's your special Musket. Ready?","Okay, there's your special Musket. Ready?"
"WWAN001P3","WWAN","Peasant-3","Alright! Now I'm all set to go rob that stupid Carpenter!","Alright! Now I'm all set to go rob that stupid Carpenter!"
"WWAN002RA","WWAN","Raz","What? I got you that gun so you could fight Napoleon's army! Not the Carpenter.","What? I got you that gun so you could fight Napoleon's army! Not the Carpenter."
"WWAN003P3","WWAN","Peasant-3","I've been trying to break into his house for days now, but he's always got a fire going so I can't get down his chimney!","I've been trying to break into his house for days now, but he's always got a fire going so I can't get down his chimney!"
"WWAN004RA","WWAN","Raz","Well, could you just fight this one lousy soldier first? He's kind of in the way anyway...","Well, could you just fight this one lousy soldier first? He's kind of in the way anyway..."
"WWAN006P3","WWAN","Peasant-3","Where is he?","Where is he?"
"WWAO000RA","WWAO","Raz","Okay, Snails. It's time to serve the cause!","Okay, Snails. It's time to serve the cause!"
"WWAO003RA","WWAO","Raz","Wow. Right on. Yes.","Wow. Right on. Yes."
"WWAQ000SN","WWAQ","Snails","Charge!!!","Charge!!!"
"WWAQ001KN","WWAQ","Knight","(Munch munch!)","(Munch munch!)"
"WWAQ004KN","WWAQ","Knight","I am truly inspired. Come, let us storm Napoleon's stronghold and win this game for Fred Bonaparte!","I am truly inspired. Come, let us storm Napoleon's stronghold and win this game for Fred Bonaparte!"
"WWAR000RA","WWAR","Raz","You ready to work?","You ready to work?"
"WWAR002CN","WWAR","Carpenter","Just put me where there's some wood that needs working!","Just put me where there's some wood that needs working!"
"WWAR003RA","WWAR","Raz","Well there's nothing for you to do right now. So why don't you sort your nails or something?","Well there's nothing for you to do right now. So why don't you sort your nails or something?"
"WWAR005RA","WWAR","Raz","How about you fix that broken bridge over there!","How about you fix that broken bridge over there!"
"WWAR011RA","WWAR","Raz","Wow, it's hard to believe you're entirely made of wood.","Wow, it's hard to believe you're entirely made of wood."
"WWAS000RA","WWAS","Raz","Time to fight for the fatherland!","Time to fight for the fatherland!"
"WWAS003CN","WWAS","Carpenter","I heard that!","I heard that!"
"WWAT000RA","WWAT","Raz","Alright, let's take Napoleon's stronghold and win the game!","Alright, let's take Napoleon's stronghold and win the game!"
"WWAT001KN","WWAT","Knight","Game?","Game?"
"WWAT002RA","WWAT","Raz","War! Woooo!","War! Woooo!"
"WWAT003KN","WWAT","Knight","Yes! The stronghold shall fall! But first you must fix that bridge.","Yes! The stronghold shall fall! But first you must fix that bridge."
"WWAT004KN","WWAT","Knight","I can't swim in this armor! It is heavy, and prone to discoloration.","I can't swim in this armor! It is heavy, and prone to discoloration."
"WWAT005KN","WWAT","Knight","Yes! The stronghold's wall is thick! But I shall crack it open! Like a shell! And I will rip that shell off, and... and sauté it... in butter! And eat it and gorge to my heart's delight.","Yes! The stronghold's wall is thick! But I shall crack it open! Like a shell! And I will rip that shell off, and... and sauté it... in butter! And eat it and gorge to my heart's delight."
"WWAT006RA","WWAT","Raz","Concentrate... war time...","Concentrate... war time..."
"WWAT008RA","WWAT","Raz","Stronghold.","Stronghold."
"WWAU000RA","WWAU","Raz","You guys ready?","You guys ready?"
"WWAU002SN","WWAU","Snails","We're ready to fight for the fatherland! To fight nobly on the field of battle! Our shells are tough, and soon we will cover the enemy with our silvery trails!","We're ready to fight for the fatherland! To fight nobly on the field of battle! Our shells are tough, and soon we will cover the enemy with our silvery trails!"
"WWAU003RA","WWAU","Raz","Okay. Just remember, there are many different ways to serve your fatherland.","Okay. Just remember, there are many different ways to serve your fatherland."
"WWAV000RA","WWAV","Raz","Word to the wise?","Word to the wise?"
"WWAV004RA","WWAV","Raz","I can burn wood with my mind.","I can burn wood with my mind."
"WWAW000NP","WWAW","Napoleon","What's this? My lazy opponent is actually trying to win? He has sent in reinforcements! Well well! Then let zee game truly begin! Send in my best soldier!","What's this? My lazy opponent is actually trying to win? He has sent in reinforcements! Well well! Then let zee game truly begin! Send in my best soldier!"
"WWAW001NP","WWAW","Napoleon","You! Destroy that bridge! For France!","You! Destroy that bridge! For France!"
"WWAW002SD","WWAW","Soldier","For France!","For France!"
"WWAW003SD","WWAW","Soldier","I hate you stupid bridge! This is how much I hate you!","I hate you stupid bridge! This is how much I hate you!"
"WWAW005SD","WWAW","Soldier","Ah, yes. Now, I shall go torment this poor peasant over here. Haha!","Ah, yes. Now, I shall go torment this poor peasant over here. Haha!"
"WWAW006FR","WWAW","Fred","Oh, man, now look! The bridge is broken and I can't move my pieces past it anymore. I quit. Napoleon, you win.","Oh, man, now look! The bridge is broken and I can't move my pieces past it anymore. I quit. Napoleon, you win."
"WWAW007RA","WWAW","Raz","No! We don't forfeit! We're going to beat you, Mr... Genetic memory of Napoleon Bonaparte!","No! We don't forfeit! We're going to beat you, Mr... Genetic memory of Napoleon Bonaparte!"
"WWAX001CN","WWAX","Carpenter","Don't worry, darling. We'll get you fixed up good as new in no time!","Don't worry, darling. We'll get you fixed up good as new in no time!"
"WWAX002CN","WWAX","Carpenter","Man, I am GOOD. Mmm!","Man, I am GOOD. Mmm!"
"WWAY000CN","WWAY","Carpenter","Oh, man. I would totally love to move over there, but that soldier would kick my ass, and I'm not getting paid for that.","Oh, man. I would totally love to move over there, but that soldier would kick my ass, and I'm not getting paid for that."
"WWBA000NP","WWBA","Napoleon","Sacré bleu! I cannot believe it, Fred! You have accidentally done something right!","Sacré bleu! I cannot believe it, Fred! You have accidentally done something right!"
"WWBA001FR","WWBA","Fred","I have?","I have?"
"WWBA002NP","WWBA","Napoleon","Yes! But I'm afraid it's still not enough. More manpower!","Yes! But I'm afraid it's still not enough. More manpower!"
"WWBA003SD","WWBA","Soldier","Ah, mon dieu. I hate bridges!","Ah, mon dieu. I hate bridges!"
"WWBA004SD","WWBA","Soldier","Ahhhh!","Ahhhh!"
"WWBA005SD","WWBA","Soldier","That is for killing my father, bridge!","That is for killing my father, bridge!"
"WWBA006FR","WWBA","Fred","Hey, stop killing my bridges. You're making me mad!","Hey, stop killing my bridges. You're making me mad!"
"WWBB000RA","WWBB","Raz","Nah, better not. I should only feed my own army.","Nah, better not. I should only feed my own army."
"WWBC000CN","WWBC","Carpenter","No thanks. My business is nails, not snails.","No thanks. My business is nails, not snails."
"WWBC001SN","WWBC","Snails","Yeah, well I wouldn't let my sister date you either, buddy.","Yeah, well I wouldn't let my sister date you either, buddy."
"WWBC002MM","WWBC","MM","I will eat only when we are celebrating our victory!","I will eat only when we are celebrating our victory!"
"WWBD000KN","WWBD","Knight","HA HA HA! Your walls are no thicker than the crust of a crème brûlée!","HA HA HA! Your walls are no thicker than the crust of a crème brûlée!"
"WWBD001KN","WWBD","Knight","Behold the mighty tapping of my spoon!","Behold the mighty tapping of my spoon!"
"WWBD002KN","WWBD","Knight","Ahhhhhh!","Ahhhhhh!"
"WWBD003NP","WWBD","Napoleon","What?? What is this? Fred? Did you do this?","What?? What is this? Fred? Did you do this?"
"WWBD004FR","WWBD","Fred","Huh? What?","Huh? What?"
"WWBD005NP","WWBD","Napoleon","I can't believe it. You... you ARE a Bonaparte! There is some Napoleon in your veins after all!","I can't believe it. You... you ARE a Bonaparte! There is some Napoleon in your veins after all!"
"WWBD006FR","WWBD","Fred","Well, maybe--","Well, maybe--"
"WWBD007NP","WWBD","Napoleon","Finally! I can resign myself back into my glorious history.  The future is yours, Fred Bonaparte. You are indeed a true warrior. Go forth and fight all your battles with the same determination you showed here, and your life will be an endless parade of victories. Like mine!","Finally! I can resign myself back into my glorious history.  The future is yours, Fred Bonaparte. You are indeed a true warrior. Go forth and fight all your battles with the same determination you showed here, and your life will be an endless parade of victories. Like mine!"
"WWBD008FR","WWBD","Fred","Yes! Well, except for that last one! The one in Waterloo...","Yes! Well, except for that last one! The one in Waterloo..."
"WWBD009NP","WWBD","Napoleon","Mmm, I was sick that day! Very bad stomach cramp. Let me tell you. That's why I've always got my hand tucked in here, you know? Heh heh. You'll find out when you're older. It's hereditary.","Mmm, I was sick that day! Very bad stomach cramp. Let me tell you. That's why I've always got my hand tucked in here, you know? Heh heh. You'll find out when you're older. It's hereditary."
"WWBE000RA","WWBE","Raz","Hey, I found this rare coin in the fire.","Hey, I found this rare coin in the fire."
"WWBE001FR","WWBE","Fred","Oh THAT'S where it was. Well, you can have it. Last thing I want is another family heirloom.","Oh THAT'S where it was. Well, you can have it. Last thing I want is another family heirloom."
"WWBE002RA","WWBE","Raz","Thanks for the note. You have really nice handwriting.","Thanks for the note. You have really nice handwriting."
"WWBE003FR","WWBE","Fred","Yeah, well I was a calligraphy major in college, actually.","Yeah, well I was a calligraphy major in college, actually."
