identifier,labels,context,source,translation
CASR008BZ,CASR,Bobby,"Oooh! Raz the Spaz is gonna be in the ""special"" class. Benny, remind me to give him a ""special"" beating later, okay?",
CASR009SA,CASR,Sasha,"These tests are unauthorized, though, so I can't actually ask you to come. But if you happened to drop in, well, what could I do? Let me just give you this...",
CASR010SA,CASR,Sasha,Remember:,
CASR011SA,CASR,Sasha,"Your talent will always set you apart, Razputin.",
CASR012SA,CASR,Sasha,Sometimes isolation is a good thing. It can lead to important discoveries.,
CASR013RA,CASR,Raz,"Wait, I don't even know where your lab is! Is this some kind of test?",
CASR015RA,CASR,Raz,And now I'm hearing things. Great.,
INBB001RA,INBB,Raz,Coach! Out in the woods! I saw--,
INBB002CO,INBB,Coach,"You're late, Soldier!",
INBB003CO,INBB,Coach,Get in here and give me twenty!,
INBB004RA,INBB,Raz,Sir! We need to get a containment team in the area STAT!,
INBB005RA,INBB,Raz,I've spotted a U.P.E.,
INBB006CO,INBB,Coach,A U.P.E.?,
INBB007RA,INBB,Raz,"Yes, an Unregistered Paranormal Entity, possibly aquatic in nature...",
INBB008CO,INBB,Coach,"I know what a U.P.E. is, son. I just don't know how YOU know.",
INBB009RA,INBB,Raz,"From ""True Psychic Tales"" Issue 424, sir!",
INBB010RA,INBB,Raz,Where Sasha Nein fought that clairvoyant grizzly bear?,
INBB011CO,INBB,Coach,Pah! Comic books!,
INBB012RA,INBB,Raz,"This thing was real, and huge, and--and it smelled all smelly!",
INBB013CO,INBB,Coach,"Save your fish stories for the boathouse, boy.",
INTR001CO,INTR,Coach,The human mind.,
INTR002CO,INTR,Coach,"Six hundred miles of synaptic fiber, five and a half ounces of cranial fluid, fifteen hundred grams of complex neural matter...",
INTR003CO,INTR,Coach,A three pound pile of dreams.,
INTR004CO,INTR,Coach,But I'll tell you what it really is.,
INTR005CO,INTR,Coach,"It is the ultimate battlefield--and, the ultimate weapon.",
INTR006CO,INTR,Coach,"The wars of this modern age--The Psychic Age--are all fought somewhere between these damp, curvaceous undulations.",
INTR007CO,INTR,Coach,AND YOU! DO YOU KNOW WHAT YOU REALLY ARE?,
INTR008CO,INTR,Coach,Well. I'll tell you that too.,
INTR009CO,INTR,Coach,"From this day forward, you are all Psychic Soldiers.",
INTR010CO,INTR,Coach,Paranormal Paratroopers!,
INTR011CO,INTR,Coach,Mental Marines who are about to ship out on the adventure of their lives!,
INTR012CO,INTR,Coach,THIS IS OUR BEACHHEAD.,
INTR013CO,INTR,Coach,And this is your landing craft!,
INTR014CO,INTR,Coach,"You shall engage the enemy in his own mentality! You shall chase his dreams, you shall fight his demons, you shall live his nightmares!",
INTR015CO,INTR,Coach,"And those of you who fight well, you will find yourselves on the path to becoming international secret agents. In other words...",
INTR016CO,INTR,Coach,Psychonauts!,
INTR017CO,INTR,Coach,The rest of you... WILL DIE.,
INTR018DO,INTR,Dogen,Waaaaaaaa!,
INTR019SA,INTR,Sasha,"Oh, Morry.",
INTR020MI,INTR,Milla,"Children, you are not going to die.",
INTR021CO,INTR,Coach,"Well, if you're not a Psychonaut, then you might as well be dead!",
INTR022DO,INTR,Dogen,They told me this was a Summer Camp!,
INTR023LI,INTR,Lili,"Ah, Dogen. Don't worry about ol' Coach Oleander. I've been coming here for years, and trust me--nothing ever happens.",
INTR024BZ,INTR,Bobby,"Yeah, Dogen. Lili's right. You don't got nothin' to worry about... 'cept for that giant monster in the lake I was telling you about.",
INTR025CO,INTR,Coach,"Bobby Zilch! I told you to stop scaring people with that ridiculous, old legend!",
INTR026CO,INTR,Coach,I don't want the kids to be afraid to go out at night and walk alone on the perfectly safe paths of Whispering Rock Psychic Summer Camp.,
INTR027CO,INTR,Coach,"And we don't want to scare our special guests, superstar Psychonauts Sasha Nein and Milla Vodello!",
INTR029RA,INTR,Raz,Whoa--,
INTR030DO,INTR,Dogen,Lake monster!,
INTR032SA,INTR,Sasha,Formation!,
INTR033MI,INTR,Milla,It's resisting.,
INTR034SA,INTR,Sasha,What is it?,
INTR035MI,INTR,Milla,"It's just a little boy! What's your name, darling?",
INTR036CO,INTR,Coach,I'll find out!,
INTR037CO,INTR,Coach,Can't... get... in... ach!,
INTR038RA,INTR,Raz,My name...,
INTR039CO,INTR,Coach,"...starts with a ""D""",
INTR040RA,INTR,Raz,...is Razputin.,
INTR041CO,INTR,Coach,Grr.,
INTR042RA,INTR,Raz,But everybody calls me Raz.,
INTR043DO,INTR,Dogen,"Please don't kill us, lake monster!",
INTR044SA,INTR,Sasha,Compelling.,
INTR045CO,INTR,Coach,Armored like a tank!,
INTR046RA,INTR,Raz,"Sorry I'm late. I don't want to disrupt your briefing, Agent Oleander.",
INTR047RA,INTR,Raz,"Agents Nein, Vodello.",
INTR048RA,INTR,Raz,"Please, continue.",
INTR049CO,INTR,Coach,Where do you think you're going?,
INTR050SA,INTR,Sasha,"You've broken into a highly-classified, remote government training facility.",
INTR051RA,INTR,Raz,"I know! Isn't it great? Listen, why don't I just sit over here quietly with my fellow PSI Cadets--",
INTR052RA,INTR,Raz,"Hey, how's it going? I like your hat!",
INTR053SA,INTR,Sasha,We need to have this young man taken from here immediately.,
INTR054MI,INTR,Milla,I'll call his parents.,
INTR055RA,INTR,Raz,What? But... don't you train Psychonauts here?,
INTR056MI,INTR,Milla,"Yes, darling, but--",
INTR057RA,INTR,Raz,To soar across the astral plane?,
INTR058RA,INTR,Raz,To wage psychic warfare against the enemies of free thought?,
INTR059CO,INTR,Coach,That is what I wrote on the front of the pamphlet...,
INTR060RA,INTR,Raz,"Those words are why I'm here, Coach Oleander. Do you remember what you wrote on the inside of that pamphlet?",
INTR061RA,INTR,Raz,"""You were born with a special gift. But the people around you treat it like a curse. Your mother is afraid of you, and your father looks at you with shame in his eyes. Come to Whispering Rock Psychic Summer Camp, and you can show them all! Back home, your powers make you a loner, an outcast, a circus freak. But in this dojo, in this Psychic dojo, they make you a hero.""",
INTR062CO,INTR,Coach,Get that soldier a bunk!,
INTR063MI,INTR,Milla,"Now, darling. You can stay here for a few days until your parents come for you. But we can't let you participate in any paranormal training without your parents' consent. I'm sorry.",
INTR064DO,INTR,Dogen,Wowee. You're so lucky. You get to go home soon.,
INTR065RA,INTR,Raz,Home? Back there I was just like you were Dogen--punished by my own family for having powers I never asked for.,
INTR066RA,INTR,Raz,"But here, I have a chance to be something. To make a difference.",
INTR067RA,INTR,Raz,"They may come for me, Dogen, but they'll be looking for Raz, the boy. What they're going to find",
INTR068RA,INTR,Raz,"What they don't expect, is Raz, the Psychonaut.",
INTR069DO,INTR,Dogen,And--and--and then you'll make their heads explode?,
INTR070RA,INTR,Raz,No! Do you do that?,
INTR071DO,INTR,Dogen,No!,
INTR072DO,INTR,Dogen,"No! Well, once kinda. But, now I wear this special hat. Wanna try it on?",
INTR073RA,INTR,Raz,No no no!,
INTR074SA,INTR,Sasha,"But he has mental defenses like I've never seen in someone so young. If I could just get him in my lab for some experiments, I'm sure he could withstand more than the others!",
INTR075CO,INTR,Coach,"That kid's one in a million, Nein. But I'm not going to let you turn him into one of your guinea pigs!",
INTR076CO,INTR,Coach,I've got big plans for that mind.,
INTR077MI,INTR,Milla,"Quickly, bring it over here",
SLAC001RA,SLAC,Raz,Ahhh!,
SLAC002SA,SLAC,Sasha,Hmm. That should not have happened. We need to try that again.,
SLAC003RA,SLAC,Raz,"Oh, I don't think I need to be in the Tumbler with the glowy eye guys anymore.",
SLAC004SA,SLAC,Sasha,Suit yourself.,
SLAC005SA,SLAC,Sasha,"You know, in many tribal societies, learning to defeat the monsters you see in your dreams is considered a rite of passage.",
SLAC006SA,SLAC,Sasha,I can train you to fight. Come see me when you're ready.,
SLAM001SA,SLAM,Sasha,"Okay, okay. Enough about my mind. Let's stay out of my mind for a while. Let's just go back into yours, huh?",
SLAM002SA,SLAM,Sasha,Step up to the Brain Tumbler when you're ready.,
SLBT001RA,SLBT,Raz,"So, what's this hair dryer thing do?",
SLBT002SA,SLBT,Sasha,"Ah, you're ready for the Brain Tumbler.",
SLBT003SA,SLBT,Sasha,"With this device we will send you deep into your own psyche, where you should find unparalleled insight and power.",
SLBT004RA,SLBT,Raz,Excellent. Tumble away.,
SLBT005SA,SLBT,Sasha,"Now just relax. This will not hurt, unless something really very bad happens.",
SLBT006SA,SLBT,Sasha,"One more time, for the good of science!",
SLBT007SA,SLBT,Sasha,Let's go mess up your mind for a change.,
SLBT008SA,SLBT,Sasha,Let's see if Milla taught you anything.,
SLIN001RA,SLIN,Raz,Agent Nein? I'm here for the advanced training!,
SLIN002RA,SLIN,Raz,"So, what are we going to learn? Bending spoons? Burning stuff?",
SLIN003RA,SLIN,Raz,I've been hearing a lot about head explosion and I was wondering--,
SLIN004SA,SLIN,Sasha,"Science, Razputin. That is what we practice down here. Not parlor tricks.",
SLIN005SA,SLIN,Sasha,"If you are serious about exploring the possibilities of your mind, step up to the Brain Tumbler and we'll begin.",
SLIN006RA,SLIN,Raz,Brain tumbler?,
SLIS001RA,SLIS,Raz,Okay. Teach me to fight.,
SLIS002SA,SLIS,Sasha,Very well. The secret is all up here.,
SLIS003RA,SLIS,Raz,It's all in my mind?,
SLIS004SA,SLIS,Sasha,"No, it's all in MINE. Let's go!",
BBBI033RA,BBBI,Raz,Yes sir!,
CAMD002MI,CAMD,Milla,"Oh, darling. You know I'd love to, but Sasha and the Coach are so strict, you know, and--",
CAMD004MI,CAMD,Milla,"You know I'd expect that sort of recklessness from Morceau, but Sasha?",
CAMD006MI,CAMD,Milla,Sasha said that? Really? I didn't know he noticed...,
CAMD007MI,CAMD,Milla,"Well, let us see if you are mentally prepared for this endeavor, young man.",
CAMD008MI,CAMD,Milla,"Oh, darling. You're just not ready. Maybe in a few months.",
CAMD010MI,CAMD,Milla,"Oh, now, there there. Cheer up.",
CAMD011MI,CAMD,Milla,"You shouldn't be getting down, unless you are on the dance floor baby!",
CAMD012MI,CAMD,Milla,(Gasp!),
CAMD013MI,CAMD,Milla,Young man!,
CAMD014MI,CAMD,Milla,Have you been working out?,
CAMD016MI,CAMD,Milla,"Flirt! Okay, let's party.",
CAMD017MI,CAMD,Milla,Ah there you go!,
CAMD018MI,CAMD,Milla,"Spin me a good one, Mr. DJ.",
CAQZ037CH,CAQZ,Chloe,Ooof!,
CAQZ038CH,CAQZ,Chloe,Ak!,
CAQZ039CH,CAQZ,Chloe,Ug!,
CAQZ040CH,CAQZ,Chloe,Ay!,
CAQZ041CH,CAQZ,Chloe,Ow!,
CALG001CO,CALG,Coach,"Alright, settle down in here! BIG DAY tomorrow!",
CALG002CO,CALG,Coach,I want to see each and every one of you runts in my classroom at oh-six-hundred hours on the dot!,
CALG003CO,CALG,Coach,"I'm the early bird and you're the worms, got it?",
CALG004CO,CALG,Coach,Now...,
CALG005CO,CALG,Coach,LIGHTS OUT!,
CAAM001PH,CAAM,Phoebe,"Uhhg! That has got to be the worst band name I have ever heard, in the history of ever, of all time, ever.",
CAAM002QU,CAAM,Quentin,"And by ""worst"" did you possibly mean, ""The best?"" Because that's what I was thinking.",
CAAM003PH,CAAM,Phoebe,"No I meant worst, as in I can't even believe we're friends it's so bad.",
CAAM004QU,CAAM,Quentin,"Look deeply into your heart, Phoebe, and I think you'll find that even you believe ""The Levitators"" is pretty much the dopest name a band could ever have.",
CAAM005PH,CAAM,Phoebe,The Levitators? Are we some sort of cover band that only plays graduation ceremonies for motivational seminars?,
CAAM006QU,CAAM,Quentin,"I've been practicing, and I think I could levitate us both during our gigs. For real now.",
CAAM007PH,CAAM,Phoebe,"No way. Last year, you dropped me and I broke my drums.",
CAAM008QU,CAAM,Quentin,"Hey, at least those got fixed. I'll never get back those records you melted with that unplanned pyrotechnics display of yours.",
CAAM009PH,CAAM,Phoebe,"Look, you know when I have a good solo going, sometimes things get hot. I can't help it. And it'd seem like part of the show if we named the band the right thing...",
CAAM010QU,CAAM,Quentin,"Oh, not this again.",
CAAM011PH,CAAM,Phoebe,Ahem. Ladies and Gentlemen!,
CAAM012QU,CAAM,Quentin,Please.,
CAAM013PH,CAAM,Phoebe,Would you please welcome...,
CAAM014QU,CAAM,Quentin,No...,
CAAM015PH,CAAM,Phoebe,THE FIRESTARTERS.,
CAAM016QU,CAAM,Quentin,"Oh, man.",
CAAM017PH,CAAM,Phoebe,Raaaaa!,
CAAM018QU,CAAM,Quentin,"If we're gonna call it that, we might as well call it, ""Burning Itch.""",
CAAM019PH,CAAM,Phoebe,WHAT?! OOooooh! Rrrrr!,
CAAM020QU,CAAM,Quentin,"Hey, how's everybody tonight? You feelin' Itchy? I said, YOU FEELIN' ITCHY?",
CAAM021PH,CAAM,Phoebe,Watch it Quentin!,
CAAM022QU,CAAM,Quentin,Or what. You'll burn me? You know you can't burn me. You got a block. That's why we're friends.,
CAAM023PH,CAAM,Phoebe,Aw you're right.,
CAAM024QU,CAAM,Quentin,That's why we're in a band together.,
CAAM025PH,CAAM,Phoebe,Yeah...,
CAAM026QU,CAAM,Quentin,And why we should call our band The Levitators.,
CAAM027PH,CAAM,Phoebe,Did you say Heavy Taters? Cuz that's what I heard.,
CAAM028QU,CAAM,Quentin,Levitators!,
CAAM029PH,CAAM,Phoebe,Firestarters!,
CAAT001MF,CAAT,Maloof,Thanks. I thought I was stuck in there forever.,
CAAT002RA,CAAT,Raz,What is this thing?,
CAAT003MF,CAAT,Maloof,"It's a GPC, a Geodesic Psychoisolation Chamber.",
CAAT004RA,CAAT,Raz,"Oh, man, cool!",
CAAT005MF,CAAT,Maloof,Cool? Do you have any idea what this does?,
CAAT006RA,CAAT,Raz,Something cool?,
CAAT007MF,CAAT,Maloof,"Uh, no. It's a sixth-sensory deprivation tank. A hermetically sealed metaphysical hotbox.",
CAAT008MF,CAAT,Maloof,It's solitary confinement for psychics.,
CAAT009RA,CAAT,Raz,Naaaasty. And the Coach locked you inside it?,
CAAT010MF,CAAT,Maloof,Nah. The staff hasn't put any kids in the GPC since the 50's.,
CAAT011MF,CAAT,Maloof,Bobby threw me in here.,
CAAT012MH,CAAT,Mikhail,Bully and dwarf accomplice should assault own size or larger only.,
CAAT013MH,CAAT,Mikhail,"While in cooler, perhaps noticed gigantic bear with skin where hair should be?",
CAAT014MF,CAAT,Maloof,I didn't see anything in there. That's the whole point.,
CAAT015MH,CAAT,Mikhail,"Ah, just so. Empty now.",
CAAT016MH,CAAT,Mikhail,"Good luck, small ones.",
CAAT017MF,CAAT,Maloof,"Hey, wait!",
CAAU018MH,CAAU,Mikhail,You. New boy. Seen bear lurking in woods?,
CAAU019RA,CAAU,Raz,Nope.,
CAAU020MH,CAAU,Mikhail,"Positive? Giant, hairless bear?",
CAAU021RA,CAAU,Raz,"Ehm, nope.",
CAAU022MH,CAAU,Mikhail,"In Russia, bears much smaller.",
CAAU023MH,CAAU,Mikhail,Also more hair. Less lurking. Always eager to wrestle.,
CAAU024MH,CAAU,Mikhail,This one hide and run.,
CAAU025RA,CAAU,Raz,I'll let you know if I see anything.,
CAAU026MH,CAAU,Mikhail,"Cannot lurk forever, bear.",
CAAV001KI,CAAV,Kitty,"Okay, you can pass.",
CAAV002KI,CAAV,Kitty,Didn't we tell you not to come back until you found an arrowhead?,
CAAV003FA,CAAV,Franke,No passing!,
CAAV004RA,CAAV,Raz,But I need to get to class.,
CAAV005FA,CAAV,Franke,Maybe you should have thought of that before.,
CAAV006RA,CAAV,Raz,I did think of that before. That's why I'm here now.,
CAAV007KI,CAAV,Kitty,Exactly. Now you gotta pay the toll.,
CAAV008FA,CAAV,Franke,One arrowhead.,
CAAV009KI,CAAV,Kitty,PAY UP!,
CAAV010RA,CAAV,Raz,I found this thing. Is that what you're talking about?,
CAAV011KI,CAAV,Kitty,"Yup, that's an arrowhead.",
CAAV012RA,CAAV,Raz,How'd they get here?,
CAAV013RA,CAAV,Raz,Arrowhead? What's that? Where do I get one?,
CAAV014KI,CAAV,Kitty,"Franke, the new kid can't be this dumb, right?",
CAAV015FA,CAAV,Franke,The camp's built on an Indian burial ground and--,
CAAV016RA,CAAV,Raz,"Oh my gosh, Indians buried their dead here?",
CAAV018FA,CAAV,Franke,"I hope not. No, stupid, they buried their arrowheads here.",
CAAV020KI,CAAV,Kitty,"Anyway, lemme have one of yours.",
CAAV021KI,CAAV,Kitty,Don't come back 'til you find one.,
CAAV200FA,CAAV,Franke,Just like Coach Oleander.,
CAAV202FA,CAAV,Franke,Like truffles.,
CAAV206KI,CAAV,Kitty,"They're hidden underground, but they let out a little gas once in a while.",
CAAV208KI,CAAV,Kitty,"So if you see any of that stuff, just pull them right out.",
CAAV210RA,CAAV,Raz,I found one!,
CAAV212RA,CAAV,Raz,"Hey, I really need to get by...",
CAAX040CP,CAAX,Chops,So you're dating Elka now. Does that mean we won't hang out as much?,
CAAX041JT,CAAX,J.T.,"Shoot, I reckon things t'aint gonna change one bit. Doggone it, pardner, no woman's never gonna--",
CAAX042EL,CAAX,Elka,HEY! You're gonna make my boyfriend late for class.,
CAAX043EL,CAAX,Elka,"Come on, James. COME. ON.",
CAAY046RA,CAAY,Raz,The Whispering Rockers!,
CAAY047PH,CAAY,Phoebe,"Uh, what?",
CAAY048RA,CAAY,Raz,That's my band name idea!,
CAAZ053RA,CAAZ,Raz,Want another band name idea?,
CAAZ054PH,CAAZ,Phoebe,"No, the last one was too good.",
CAAZ055QU,CAAZ,Quentin,"Yeah, if you give us another we'll just have to fight about which of yours was better.",
CAAZ056PH,CAAZ,Phoebe,Where were we? Oh yeah...,
CAMI001CH,CAMI,Chloe,Calling any sentient being in the galaxy Polarissima Australis.,
CAMI002CH,CAMI,Chloe,Come in Polarissima Australis.,
CAMI003CH,CAMI,Chloe,Can anybody hear me?,
CAMI004CH,CAMI,Chloe,I would like to speak to whatever cosmic entity has been sending these voices to my head since I was a kid.,
CAMI005CH,CAMI,Chloe,And visit that entity if possible.,
CAMI006CH,CAMI,Chloe,"I am receiving your messages, but they're too faint to make out.",
CAMI007CH,CAMI,Chloe,I am designing a spaceplane to meet you in orbit.,
CAMI008CH,CAMI,Chloe,Spaceplane design still rough.,
CAMI009CH,CAMI,Chloe,"Test flights indicate that full-sized version will not survive launch, resulting in medium to large nuclear explosion.",
CAMI010CH,CAMI,Chloe,You may have to meet me planetside.,
CAMI011CH,CAMI,Chloe,Please respond.,
CAMI012CH,CAMI,Chloe,"Polarissima Australis, are you reading me?",
CAMI013CH,CAMI,Chloe,I've been imprisoned in a camp for suspected extra-terrestrials.,
CAMI014CH,CAMI,Chloe,Am trapped with misfit earth children.,
CAMI015CH,CAMI,Chloe,Please send help.,
CAMI016CH,CAMI,Chloe,"Inhabitants of other galaxies, you are also invited to respond.",
CAMI017CH,CAMI,Chloe,"So if you live in Zwicky's Triplet or Fath 703 or anywhere, do not hesitate to initiate rescue procedures.",
CAMI018CH,CAMI,Chloe,I await your arrival.,
CAMI019CH,CAMI,Chloe,This message will repeat in ten seconds.,
CAMJ020RA,CAMJ,Raz,"Hey, Chloe, what're you doing?",
CAMJ021CH,CAMJ,Chloe,The Coach uses this to broadcast his thoughts across the camp. I think I can tune it to reach my people in space.,
CAMK022RA,CAMK,Raz,Whoa. How does it work?,
CAMK023CH,CAMK,Chloe,I don't have time to explain the technology to you.,
CAML024RA,CAML,Raz,"Hey, uh, Chloe?",
CAML025CH,CAML,Chloe,"Go away, Raz, I'm working.",
CAQN001NI,CAQN,Nils,Ahh! Can't see anything.,
CAQN002NI,CAQN,Nils,Stupid lame peephole.,
CAQN003NI,CAQN,Nils,I am definitely going to need audio.,
CAQO004RA,CAQO,Raz,"You know that cabin is empty, right?",
CAQO005NI,CAQO,Nils,"Duh. I'm practicing for tonight, when it's gonna be full o' LADIES.",
CAQO006RA,CAQO,Raz,That kind of thing takes practice?,
CAQO007NI,CAQO,Nils,"Um, excuse me, but my parents let me watch R-rated movies, so I think I know a little bit more about this than you do, okay?",
CAQP008RA,CAQP,Raz,Hey watch out! Someone's coming!,
CAQP009NI,CAQP,Nils,Tell 'em to find their own hole!,
CAQT001EF,CAQT,Elton,"Hey, Raz. Hurry up. You don't want to be late for Basic Braining.",
CAQT002CM,CAQT,Clem,Woo-hooo!  Basic Braining is the best class ever!!!  Woo-hoo-hooo!,
CAQT003CF,CAQT,Crystal,I love Coach Oleander. He's so nice and he knows everything!,
CAQT004VE,CAQT,Vernon,"I heard this one time, a kid was late for Basic Braining, and Coach Oleander held him upside down until he turned blue but the kid had just drank a six pack of soda and so when the coach shook him up, he exploded.",
CAQZ022DO,CAQZ,Dogen,Owwwwwww.,
CAQZ023KI,CAQZ,Kitty,"Oh, yeah, new kid--it's on!",
CAQZ024FA,CAQZ,Franke,Hey!,
CAQZ025NI,CAQZ,Nils,Yow!,
CAQZ028NI,CAQZ,Nils,"Somebody punched me! Give me a hand will ya, Raz?",
CAQZ030NI,CAQZ,Nils,Thanks!,
CAQZ031QU,CAQZ,Quentin,"Hey, knock it off!",
CAQZ032PH,CAQZ,Phoebe,GET! OFF!,
CAQZ033CO,CAQZ,Coach,"Save it for the battlefield, soldier!",
CAQZ034FO,CAQZ,Ford,"If I wasn't the one who'd have to clean it up, I'd mash ya into a puddle of goo.",
CAQZ035MI,CAQZ,Milla,"Enough with the rough stuff, darling.",
CAQZ036SA,CAQZ,Sasha,"Yes, ouch.",
