identifier,labels,context,source,translation
BVOS002ED,BVOS,Edgar,Rarr.,
BVOS004ED,BVOS,Edgar,Snoorrrrrt.,
BVOS005ED,BVOS,Edgar,Grunt.,
BVOT001LA,BVOT,Lampita,I knew you would save me some day.,
BVOT002LA,BVOT,Lampita,"He just won't let me go. Tell me, how did you kill him?",
BVOT003RA,BVOT,Raz,Kill who?,
BVOT005RA,BVOT,Raz,I didn't.,
BVOT006RA,BVOT,Raz,Edgar?,
BVOT007ED,BVOT,Edgar,Rrrrrr! Rrrrrr!,
BVVI001DI,BVVI,Dingo,Ooof!,
BVVI002LA,BVVI,Lampita,Ah-hoo hoo!,
BVVI003RA,BVVI,Raz,Wait!,
BVVI004LA,BVVI,Lampita,It's... all right... it's okay.,
BVVI005LA,BVVI,Lampita,We'll win the game... some... other... day oooh hooo hoo!,
BVVI006RA,BVVI,Raz,"Ug, please. Edgar, look at them. They're too pathetic to hurt you any more.",
BVVI007RA,BVVI,Raz,Can't you just let it go?,
BVVI008ED,BVVI,Edgar,How embarrassing. I can't believe I was hung up for so long over these losers.,
BVVI009LA,BVVI,Lampita,Um... uh... I--I always loved you more?,
BVVI010LA,BVVI,Lampita,Ahhhhhhhhhhhhhhhhh!,
BVVI012LA,BVVI,Lampita,(quiet sobbing),
BVVI013DI,BVVI,Dingo,Ahahahahaha!,
BVVI014DI,BVVI,Dingo,Ahhh-ah!,
BVAP008RA,BVAP,Raz,"Eh, eh-eh. Eh, eh, eheh!",
BVAH001AN,BVAH,Announcer,"As a reminder, no one's ever gonna beat Cobra without breaking his concentration",
BVAH002AN,BVAH,Announcer,That challenger needs to roll away from those aerial attacks!,
BVAH003AN,BVAH,Announcer,"Unless that kid can fly, he'll never beat the Dragon roar",
BVAH004AN,BVAH,Announcer,Avoiding the Tiger Pounce requires some serious tumbling skills!,
BVAJ001RA,BVAJ,Raz,I don't want to use that card here. A card laid is a card played.,
BVAL001RA,BVAL,Raz,OW!,
BVAM003RA,BVAM,Raz,"Hey, uh, we really gotta get that billboard painted.",
BVAM000BD,BVAM,Bulldog,"Okay, man, here's the plan. Step one: I quit ""we."" Step two: ""We""--which is now just you--runs out there and gets killed painting the billboard.",
BVAM004RA,BVAM,Raz,Maybe I can distract the bull while you paint. It's so crazy it just might work.,
BVAM001BD,BVAM,Bulldog,"Or maybe it's so crazy that it's just extra crazy. There's absolutely no way I'm going out there, man.",
BVAM005RA,BVAM,Raz,"C'mon, you're a bulldog! Show some backbone. Plus, who wants to go for a walk? Who wants to go for a walk?",
BVAM002BD,BVAM,Bulldog,"Stupid. Dog. Brain. RRRRRR. ACK. Alright, let's go!",
BVAM006RA,BVAM,Raz,"Great! When I say ""Go boy!"" get moving!",
BVAN001AN,BVAN,Announcer,"Next up: Junior King ""Kong"" Cobra!",
BVAN003AN,BVAN,Announcer,"Introducing--fresh from the Thrilla in Manilla, Iowa--",
BVAN004AN,BVAN,Announcer,Introducing--fresh from an astonishing victory at the Killings in Billings--,
BVAN005AN,BVAN,Announcer,Introducing--back from a crushing victory at Someone Might Lose a Tooth in Duluth--,
BVAN008AN,BVAN,Announcer,TIGER!,
BVAN009AN,BVAN,Announcer,DRAGON!,
BVAN010AN,BVAN,Announcer,EAGLE!,
BVAN011AN,BVAN,Announcer,KING 'KONG' COBRA!,
BVAN012AN,BVAN,Announcer,FIGHT!,
BVAN013AN,BVAN,Announcer,WRESTLE!,
BVBI007RA,BVBI,Raz,Go boy!,
BVBI002BD,BVBI,Bulldog,"I think it turned out pretty well. On the other hand, I'm color blind.",
BVBI000BD,BVBI,Bulldog,NO! The painting's ruined!,
BVBI001BD,BVBI,Bulldog,"Oh, that's the biggest squirrel I've ever seen. Out of my way, kid!",
BVBM000RA,BVBM,Raz,You look pretty jumpy. What's the problem?,
BVBM002BD,BVBM,Bulldog,I'm supposed to paint an ad for the big fight between Dingo the Matador and the town bull. Only the bull's on a rampage right through where the painting needs to go.,
BVBM002RA,BVBM,Raz,"Oooo, Dingo the Matador? I need to talk to him!",
BVBM004BD,BVBM,Bulldog,"His apartment's right upstairs. While you're there, maybe you can convince him to take care of the bull.",
BVBM007BD,BVBM,Bulldog,The devil cat has horns!!!! AHHHHHH! AHHHHHH!,
BVCI000CB,BVCI,Cobra,"Hey Edgar, nice headgear.  Freak.",
BVCI014RA,BVCI,Raz,What?,
BVCI001CB,BVCI,Cobra,"What? You suck, Teglee. You can't beat me. Coach says I can't be beat. Coach says I got mental toughness. You can't break my concentration, wimp.",
BVCI015RA,BVCI,Raz,"Hey, I'm not Edgar.",
BVCI002CB,BVCI,Cobra,"Yeah, you're gonna wish you're not Edgar when I'm through.",
BVCI016RA,BVCI,Raz,"Look, I am NOT Edgar Teglee.  My name's Raz.  I'm a Psychonaut.",
BVCI003CB,BVCI,Cobra,"You're an idiot, Smeglee. Coach says your psycho girl-crazy lack of focus cost you states.",
BVCI017RA,BVCI,Raz,"Seriously, I don't want to have to hurt you.",
BVCI004CB,BVCI,Cobra,"Well since you'd have to break my concentration to even touch me, and since you can't break my concentration, I guess you won't be too disappointed then.",
BVCO000CL,BVCO,Collie,What? I can't BELIEVE you're not buying that beautiful painting.,
BVCO001CL,BVCO,Collie,"Yes, I guess it's hard to look at just one when you're at a delicious smorgasbord such as this!",
BVCO002CL,BVCO,Collie,Hup. Where'd you go?,
BVCO003CL,BVCO,Collie,"Oh, this one's good too!",
BVCO004CL,BVCO,Collie,"Oh, there you are!",
BVCO000RA,BVCO,Raz,I'll take it!,
BVCO005CL,BVCO,Collie,(gasp),
BVCO006CL,BVCO,Collie,"Oh, I don't know if I can let it go!",
BVCO007CL,BVCO,Collie,Oh all right. If you're going to give me that puppy dog look!,
BVCO008CL,BVCO,Collie,"Okay, number one: I am an ARTIST. Don't speak to me of BUSINESS.",
BVCO009CL,BVCO,Collie,Number two: True beauty is priceless.,
BVCO010CL,BVCO,Collie,Number three: Yes. Come...,
BVCO011CL,BVCO,Collie,"Sorry but my priceless art has been sold off, cheap, much like the years of my youth.",
BVCO078CL,BVCO,Collie,"My priceless art has been sold off, cheap, much like the years of my youth.",
BVCO012CL,BVCO,Collie,Thank god. I felt like I was being looted.,
BVCO013CL,BVCO,Collie,(cough) Pearls before swine. (cough),
BVCO014CL,BVCO,Collie,Nothing.,
BVCO015CL,BVCO,Collie,"Now then, you will, of course, want something else.",
BVCO002RA,BVCO,Raz,"Hey, how's business? Can I buy some art?",
BVCO003RA,BVCO,Raz,"Yeah, I saw another dog selling art up the street. Are you guys a chain?",
BVCO004RA,BVCO,Raz,Why don't you guys just make a run for it?,
BVCO016RA,BVCO,Raz,Could you tell me again about your dog friends?,
BVCO005RA,BVCO,Raz,"Hey, can you fight bulls? I have a bull problem.",
BVCO006RA,BVCO,Raz,Who CAN do it? Who can fight El Odio?,
BVCO007RA,BVCO,Raz,Why won't they ask Dingo to help? Is he expensive?,
BVCO008RA,BVCO,Raz,WHAT? What happened between Dingo and Edgar?,
BVCO009RA,BVCO,Raz,COME ON! Tell me! What's the big scandal???,
BVCO011RA,BVCO,Raz,"Okay, I bought some art. Now give me the dirt on Dingo.",
BVCO012RA,BVCO,Raz,Whoa. That's a great story. You should do a painting about it.,
BVCO013RA,BVCO,Raz,I think that Dingo sounds like a jerk.,
BVCO014RA,BVCO,Raz,Must be tough.,
BVCO015RA,BVCO,Raz,Gotta go.,
BVCO077CL,BVCO,Collie,"Shoo, get out of here.  Don't bother my customers!",
BVCO016CL,BVCO,Collie,"Ah, you have met my compadres. When we were young art dogs we would run wild in the street together.",
BVCO017CL,BVCO,Collie,But now...,
BVCO018CL,BVCO,Collie,You couldn't understand.,
BVCO019CL,BVCO,Collie,El Odio imprisons us all. Art is the only escape.,
BVCO020CL,BVCO,Collie,And today is the only day...,
BVCO021CL,BVCO,Collie,...that it's going to be this cheap. All these prices go up tomorrow because of tourist season.,
BVCO022CL,BVCO,Collie,Sorry.,
BVCO023CL,BVCO,Collie,Artist here.,
BVCO024CL,BVCO,Collie,Delicate hands.,
BVCO025CL,BVCO,Collie,"And anyway, if you are talking about El Odio, well...",
BVCO026CL,BVCO,Collie,"There is, of course, only one man who could handle that much bull.",
BVCO027CL,BVCO,Collie,I speak of no other than Dingo Inflagrante...,
BVCO028CL,BVCO,Collie,...the infamous Matador playboy.,
BVCO029CL,BVCO,Collie,"Alas, they would never ask him to help. Not in a million years!",
BVCO030CL,BVCO,Collie,No. Because of what happened between him and Edgar. Quite a scandal.,
BVCO031CL,BVCO,Collie,Tragedy. Betrayal.,
BVCO032CL,BVCO,Collie,Art.,
BVCO033CL,BVCO,Collie,Love.,
BVCO034CL,BVCO,Collie,Pain.,
BVCO035CL,BVCO,Collie,Nothing you want to know about.,
BVCO036CL,BVCO,Collie,"Listen, I deal in truth and beauty, not dirt.",
BVCO037CL,BVCO,Collie,But...,
BVCO038CL,BVCO,Collie,Maybe if you had bought some art...,
BVCO039CL,BVCO,Collie,"...then I'd have to come up with some small talk while we're making change, and, you know",
BVCO040CL,BVCO,Collie,Mmmm...hmmhmmm...,
BVCO041CL,BVCO,Collie,"Okay, here's how I heard it.",
BVCO042CL,BVCO,Collie,"Years ago, when Edgar was a world-renowned painter, he was commissioned by Dingo to immortalize him in black velvet.",
BVCO043CL,BVCO,Collie,"But while he was sitting for the portrait, Dingo met Edgar's beautiful wife.",
BVCO044CL,BVCO,Collie,Who was none other than the top Flamenco dancer Lampita Pasionado!,
BVCO045CL,BVCO,Collie,"He seduced the dancer, and the two ran off together, leaving Edgar with the unfinished painting...",
BVCO046CL,BVCO,Collie,...and a broken heart.,
BVCO047CL,BVCO,Collie,"Since then, Edgar thinks of nothing but the treacherous pair...",
BVCO048CL,BVCO,Collie,...and since then our streets have been ruled by...,
BVCO049CL,BVCO,Collie,...El Odio!,
BVCO050CL,BVCO,Collie,"Yes, that's what we need around here. Some paintings of Dingo and bulls, yeah. Good idea.",
BVCO051CL,BVCO,Collie,"Ah, he gets an unfair rap because of his looks.",
BVCO052CL,BVCO,Collie,"As a Collie, I know how hard it is to be resented for your beauty.",
BVCO053CL,BVCO,Collie,It's like being forced to wear a golden robe with a diamond 'kick me' sign on the back.,
BVCO054CL,BVCO,Collie,Eh. I work it out through my painting.,
BVCO055CL,BVCO,Collie,Be good.,
BVCO056CL,BVCO,Collie,"Since I am trapped here, I like to paint far away island scenes as an escape.",
BVCO057CL,BVCO,Collie,Like this adorable tiki hut.,
BVCO058CL,BVCO,Collie,Do you think tiki is a fun word to say? I do.,
BVCO059CL,BVCO,Collie,I love this painting.,
BVCO060CL,BVCO,Collie,Look at the brushwork!,
BVCO061CL,BVCO,Collie,"I love it so much, if it didn't have it's backside up against the wall, I would sniff it!",
BVCO062CL,BVCO,Collie,"Yes. A thing of beauty is a joy forever, but... prices like these cannot last.",
BVCO063CL,BVCO,Collie,Now that I look at it... I'm not sure if it's for sale at all. It might be too good. I might have to keep it.,
BVCO064CL,BVCO,Collie,"It's almost as beautiful as me, you have to admit.",
BVCO065CL,BVCO,Collie,Please don't breathe directly on this painting. It is very valuable.,
BVCO066CL,BVCO,Collie,"I cannot look at this painting for too long, or I will cry with joy.",
BVCO067CL,BVCO,Collie,Outstanding. That's all I can say.,
BVCO068CL,BVCO,Collie,"No offense, but you are not good enough for this piece. Please, please do not buy it.",
BVCO069CL,BVCO,Collie,I was playing with spatial relationships here.,
BVCO070CL,BVCO,Collie,"Well, I 'played' in the same way that Beethoven 'played' with dissonance in the 'Eroica Symphony, if you follow me.",
BVCO071CL,BVCO,Collie,This one is... well... more of a tone poem.,
BVCO072CL,BVCO,Collie,"What's important in this piece is not what I painted, but what I did NOT paint. Know what I mean?",
BVCO073CL,BVCO,Collie,"Well, I guess I COULD let this one go...",
BVCO074CL,BVCO,Collie,Try to handle it only by the edges.,
BVCO076CL,BVCO,Collie,Step into my world of beauty.,
BVCP016RA,BVCP,Raz,Tell me that story about Dingo and Lampita again!,
BVCR000CB,BVCR,Cobra,"You can't hurt me, Smeglee!",
BVCR000RA,BVCR,Raz,"Look, mister, I AM NOT EDGAR TEGLEE!",
BVDA082DA,BVDA,Dalmatian,Get outta here you punks!  Leave my customer alone!,
BVDA000DA,BVDA,Dalmatian,What? You want more?,
BVDA001DA,BVDA,Dalmatian,"Ha-huh.  Couldn't look at that one any more, ahh?",
BVDA002DA,BVDA,Dalmatian,"Look, give it up. None of them are any good.",
BVDA003DA,BVDA,Dalmatian,Each one worse than the last...,
BVDA004DA,BVDA,Dalmatian,You're kidding.,
BVDA001RA,BVDA,Raz,"No, I want it.",
BVDA005DA,BVDA,Dalmatian,"Well, there's no accounting for taste I guess.",
BVDA006DA,BVDA,Dalmatian,Right this way!,
BVDA007DA,BVDA,Dalmatian,Sorry. I'm sold out.,
BVDA008DA,BVDA,Dalmatian,"Oh, wait. To be honest, I'm NOT sorry about that. I am happy about that.",
BVDA009DA,BVDA,Dalmatian,"You bought it all so YOU are the sorry one, my friend.",
BVDA010DA,BVDA,Dalmatian,"Don't tell anyone who painted these, okay?",
BVDA014DA,BVDA,Dalmatian,Goooood riddance!,
BVDA012DA,BVDA,Dalmatian,"Well, maybe you can write it off on your taxes as a loss.",
BVDA013DA,BVDA,Dalmatian,"A catastrophic loss, even.",
BVDA015DA,BVDA,Dalmatian,Enjoy that!   Heeheeeheee.,
BVDA016DA,BVDA,Dalmatian,"Well, with some luck, and a lot of self-abuse on your part, I have managed to sell out.",
BVDA017DA,BVDA,Dalmatian,My thanks to your poor judgment.,
BVDA002RA,BVDA,Raz,Hi. I want to buy a painting,
BVDA003RA,BVDA,Raz,"No, really. I'd like some art.",
BVDA004RA,BVDA,Raz,You're going to turn away a paying customer?,
BVDA005RA,BVDA,Raz,"Edgar Teglee sent me. You know, the famous painter? How about a discount?",
BVDA006RA,BVDA,Raz,"Pfft, you don't give discounts? Or pffft, you don't think he's famous?",
BVDA007RA,BVDA,Raz,"Hey, there's no shame in hiding from wrestlers. They're trouble. Especially the wild animal type.",
BVDA008RA,BVDA,Raz,No. I just meant wrestlers can be tough. I didn't mean you.,
BVDA009RA,BVDA,Raz,Yes. I would like to wrestle. Let's go.,
BVDA010RA,BVDA,Raz,"Yeah, I want some art.",
BVDA011RA,BVDA,Raz,"No, I want to talk about Edgar. Has he always had a problem with wrestlers?",
BVDA012RA,BVDA,Raz,Has Edgar always had a problem with wrestlers?,
BVDA013RA,BVDA,Raz,Why did he choke? Did they get him in one of those pile driver things?,
BVDA014RA,BVDA,Raz,How sad. Especially since it all happened to him again with Dingo and Lampita.,
BVDA016RA,BVDA,Raz,So tell me that again? Edgar was a bad wrestler?,
BVDA015RA,BVDA,Raz,See ya.,
BVDA044DA,BVDA,Dalmatian,No you don't.,
BVDA045DA,BVDA,Dalmatian,Came to the wrong place then. All we got here is junk.,
BVDA046DA,BVDA,Dalmatian,Hm. Your argument has many strong points.,
BVDA047DA,BVDA,Dalmatian,Especially around that area where you said the word paying,
BVDA048DA,BVDA,Dalmatian,I liked that.,
BVDA050DA,BVDA,Dalmatian,"Well, I guess it might cheer up the joint to get rid of some of these eyesores outta here.",
BVDA051DA,BVDA,Dalmatian,"Come on, I'll give you a tour of the atrocities. I just hope you got a strong stomach.",
BVDA018DA,BVDA,Dalmatian,Famous painter? Edgar?,
BVDA019DA,BVDA,Dalmatian,"Pffft! Yeah, right!",
BVDA020DA,BVDA,Dalmatian,"Look, I'm sorry, but eating lunch every day in the art teacher's room does not make you a famous painter.",
BVDA021DA,BVDA,Dalmatian,"Anyway, he only did that to hide out from the school wrestling team.",
BVDA022DA,BVDA,Dalmatian,"Oh, whaddya mean wild animals? Like dogs, eh?",
BVDA023DA,BVDA,Dalmatian,"Oh, you got a problem with me now?",
BVDA024DA,BVDA,Dalmatian,"Oh, you don't think I'm tough now?",
BVDA025DA,BVDA,Dalmatian,"Why, 'cause I'm a Dalmatian?",
BVDA026DA,BVDA,Dalmatian,"Hey, we can't all be St. Bernards and Bulldogs, you know!",
BVDA027DA,BVDA,Dalmatian,(Sigh.),
BVDA028DA,BVDA,Dalmatian,"Look, man. Are you gonna buy something or what?",
BVDA029DA,BVDA,Dalmatian,"No way. In fact, he used to be the captain of his high school wrestling team!",
BVDA030DA,BVDA,Dalmatian,"He took them all the way to the state semi-finals one year, and then he...",
BVDA031DA,BVDA,Dalmatian,...he choked.,
BVDA032DA,BVDA,Dalmatian,Cost the team the entire match.,
BVDA034DA,BVDA,Dalmatian,"No, Edgar's girlfriend Lana Panzoni dumped him after the first period for Dean Legrante, the head of her cheerleading squad.",
BVDA035DA,BVDA,Dalmatian,Teglee was worthless after that.,
BVDA036DA,BVDA,Dalmatian,The other team just tossed him around the rest of the day like a half sack of pork rinds.,
BVDA037DA,BVDA,Dalmatian,"Oh, man. His squad hated him after that. The whole school did.",
BVDA038DA,BVDA,Dalmatian,Ohhhhhhh. Riiigggght.,
BVDA039DA,BVDA,Dalmatian,"Yeah, they exist.",
BVDA040DA,BVDA,Dalmatian,"Not made up at all, those two.",
BVDA041DA,BVDA,Dalmatian,Sheesh.,
BVDA042DA,BVDA,Dalmatian,"Hey, I got some original Picassos over here if you're interested, by the way...",
BVDA043DA,BVDA,Dalmatian,"Yes, run! Run from the horror!",
BVDA049DA,BVDA,Dalmatian,Thanks.,
BVDA052DA,BVDA,Dalmatian,"Hey, I can call it that. You can't.",
BVDA053DA,BVDA,Dalmatian,"Well, not until you pay for it at least.",
BVDA054DA,BVDA,Dalmatian,Okay what I was going for here was a creeping vine. The kind that grows up walls?,
BVDA055DA,BVDA,Dalmatian,But it just ended up looking like a truck driver's hairy back.,
BVDA056DA,BVDA,Dalmatian,But without the charisma.,
BVDA057DA,BVDA,Dalmatian,"This, believe it or not, is supposed to be a rose.",
BVDA058DA,BVDA,Dalmatian,"You know, if you gave a woman a rose that looked like this, she'd slap you.",
BVDA059DA,BVDA,Dalmatian,Ya see what I'm talking about?,
BVDA060DA,BVDA,Dalmatian,This stuff reeks.,
BVDA061DA,BVDA,Dalmatian,Ew.,
BVDA062DA,BVDA,Dalmatian,"I recommend you don't look directly at this one. It is so awful, you could mess up your eyes.",
BVDA063DA,BVDA,Dalmatian,"Ewww, so bad...",
BVDA064DA,BVDA,Dalmatian,Whoa! I forgot how crummy this one was.,
BVDA065DA,BVDA,Dalmatian,I can't believe I painted this.,
BVDA066DA,BVDA,Dalmatian,Ach!,
BVDA067DA,BVDA,Dalmatian,"This one is so bad, someone should take a rolled-up newspaper and smack it.",
BVDA068DA,BVDA,Dalmatian,Seriously. What a load.,
BVDA069DA,BVDA,Dalmatian,This looks like electric clown barf in space.,
BVDA070DA,BVDA,Dalmatian,Terrible!,
BVDA071DA,BVDA,Dalmatian,"Uhhh, uhhh I'm sorry you had to see this.",
BVDA072DA,BVDA,Dalmatian,Ug.,
BVDA073DA,BVDA,Dalmatian,I deserve to get my nose rubbed in this one.,
BVDA074DA,BVDA,Dalmatian,This painting reminds me of my grandpa's last year alive...,
BVDA075DA,BVDA,Dalmatian,...just one terrible stroke on top of another.,
BVDA076DA,BVDA,Dalmatian,"Really, I should just take this one out back and bury it.",
BVDA077DA,BVDA,Dalmatian,Ech! Somebody light a match! This one really stinks.,
BVDA078DA,BVDA,Dalmatian,Woof! That's all I gotta say about that.,
BVDA079DA,BVDA,Dalmatian,Black velvet hasn't been abused like this since the last time Mom got drunk in her prom dress.,
BVDA080DA,BVDA,Dalmatian,Just awful!,
BVDA081DA,BVDA,Dalmatian,Bleech!,
BVDI008RA,BVDI,Raz,Yow. What's that smell?,
BVDI000DR,BVDI,Dragon,"That smells like fear, boy!",
BVDI009RA,BVDI,Raz,"Yeah... No, I mean that fart smell.",
BVDI001DR,BVDI,Dragon,That's fear! RAWRRRR!,
BVDI010RA,BVDI,Raz,"No, I'm talking about an actual smell. It's like if stink bombs laid eggs and then those went bad.",
BVDI002DR,BVDI,Dragon,"That's sulfur. It's part of the dragon costume, kid.",
BVED000ED,BVED,Edgar,"If you are curious about the load-bearing capacity of cardhouses, please conduct your experiments on SOMEONE ELSE'S HOUSE OF CARDS!",
BVED001ED,BVED,Edgar,"The cards are large, yes, but it is still a house of cards. KEEP OFF!",
BVED002ED,BVED,Edgar,"Jumping on the house of cards, stumbling into the house of cards, driving your glowing ball through the house of cards: none of these activities help me.",
BVED003ED,BVED,Edgar,"Please, boy, I must have those queens!",
BVED004ED,BVED,Edgar,Perfect! One step closer... to her.,
BVED005ED,BVED,Edgar,"Ah, that is exactly the card I need!",
BVED000RA,BVED,Raz,"Wow. It looks like you can walk right up there now, Edgar.",
BVED004RA,BVED,Raz,"Here you go, Edgar.",
BVED005RA,BVED,Raz,"I got some cards for you, Edgar.",
BVED006RA,BVED,Raz,This one was a real pain in the butt to get.,
BVED007RA,BVED,Raz,"I hope these things are worth it, Edgar.",
BVEI000EA,BVEI,Eagle,Ca-caw.,
BVEI013RA,BVEI,Raz,That's it? Ca--MAN! That's ss-,
BVEI001EA,BVEI,Eagle,Ca-caw. Ca-caw.,
BVEQ002ED,BVEQ,Edgar,Thank you! I'll take any other cards you have as well.,
BVHO000RA,BVHO,Raz,Now that looks like a good place to hang a painting!,
BVMB000BD,BVMB,Bulldog,"Oh my god, I'm deaf!",
BVMB012RA,BVMB,Raz,Can you hear me? You're getting sleepy.  But not too sleepy to go paint the billboard.,
BVMB002BD,BVMB,Bulldog,"What? Oh my god. Hey, ""god"" is ""dog"" spelled backwards!",
BVMB003BD,BVMB,Bulldog,"Whoa, whoa wait a minute. ""God"" is ""cat"" spelled backwards! Oh no. No no no no no.",
BVMB004BD,BVMB,Bulldog,I'm shaving just like daddy!,
BVMB013RA,BVMB,Raz,I think I solved your problem. Watch this.,
BVMB000MA,BVMB,Matador,"I had my doubts, but--",
BVMB001MA,BVMB,Matador,"But I'm right as usual. Really nice job, genius. Now go back out there and finish the job.",
BVMI002MA,BVMI,Matador,"Ah, the towel boy.  Oh, it's you.  Get out.",
BVMI001MA,BVMI,Matador,I see the sign's not finished. That's what I get for trusting a bullfight to an eight year old.,
BVMO000MA,BVMO,Matador,Hmmm. It's not great.,
BVMO001MA,BVMO,Matador,But I suppose it's just barely good enough. Come see me if you still want your reward.,
BVMO000RA,BVMO,Raz,"You know, your advice didn't work.",
BVMO002MA,BVMO,Matador,Really? Then here's some new advice: I don't know what you're talking about.,
BVMO001RA,BVMO,Raz,How about that reward?,
BVMO003MA,BVMO,Matador,"Fine, then. One autograph.",
BVMP005MA,BVMP,Matador,"Ah, you must be the towel boy!",
BVMP008MA,BVMP,Matador,You want an autograph? I don't just hand those out.,
BVMP009MA,BVMP,Matador,And that's a good lesson for you: anticipate disappointment. Take me: I'm the greatest bullfighter who's ever lived. Yet my upcoming match against the town bull has received virtually no marketing support.,
BVMP010MA,BVMP,Matador,"A towering advertisement was supposed to have been painted just outside my window. But, as you can see, the job hasn't even been started.",
BVMP005RA,BVMP,Raz,I think that bull is trampling anyone who tries to paint on the wall. Maybe you could stop it.,
