id,character,origin_dialogue,translated_dialogue
BBAB014EF,Elton,"Ooh, me sir! I'd like to chicken out, please.",
BBAB015CO,Coach,TOO LATE SOLDIER!,
BBAB016EF,Elton,But you said--,
BBAB017CO,Coach,There's only one way out of here: FIGHTING!,
BBAB020CO,Coach,I want one of you chickens to sock me square in the jaw!,
BBAB022CO,Coach,"But I warn you, once you do, the war is on.",
BBAC024CO,Coach,I said pop me!,
BBAC025CO,Coach,You're not gonna get another chance like this. I guarantee it.,
BBAC026CO,Coach,"You! Navy boy. Chicken of the sea. C'mon, let's go!",
BBAC900CO,Coach,You! Navy boy. Sea chicken. Let's go!,
BBAC028CO,Coach,"How 'bout you, new kid?",
BBAC029CO,Coach,Do it!,
BBAC030CO,Coach,Let's go!,
BBAC031CO,Coach,Right on the chin.,
BBAD033CO,Coach,Ah! That's what I'm talking about!,
BBAD034EF,Elton,Charrrrrrrrgggg--,
BBAD036CO,Coach,HAHAHA.,
BBAD037RA,Raz,What kind of obstacle course is this? That kid just got killed!,
BBAD038CO,Coach,"A MENTAL obstacle course, you bleeding heart!",
BBAD039CO,Coach,He's not dead. His astral projection just got kicked out of my mind.,
BBAD040CO,Coach,"And I'll kick your ass-tral projection outta here too, if you don't get moving right now!",
BBAE042RA,Raz,You going to punch him?,
BBAE043EF,Elton,No way! You do it!,
BBAF045EF,Elton,OW!,
BBAF046CO,Coach,"Pick on someone your own size! Or bigger, like me.",
BBBI600RA,Raz,"Hey, Dogen. What's wrong?",
BBBI650RA,Raz,"Come on, Dogen! This way!",
BBBI601DO,Dogen,I keep blowing up.,
BBBI602DO,Dogen,I can't do it! I can't do it!,
BBBI603DO,Dogen,Look! Raz! I didn't explode at all!,
BBBI604RA,Raz,Good hustle out there.,
BBBI605DO,Dogen,Bye.,
BBBK200BZ,Bobby,Yeahhhh. CLASSIC ZILCH!,
BBBL007CO,Coach,Watch out! Fire down below!,
BBBM010EL,Elka,Let... go... of... him.,
BBBM011EL,Elka,Let go!,
BBBM012EL,Elka,This is pathetic.,
BBBM013EL,Elka,"James, tell Chops to let go.",
BBBM014EL,Elka,This is so immature.,
BBBM015CP,Chops,"I'm not gonna let JT down, Elka.",
BBBM016CP,Chops,"Okay, Elka. Time to let go.",
BBBM017CP,Chops,"Doom, you're offsides. Let go.",
BBBM018CP,Chops,You let go!,
BBBM019CP,Chops,"Babe, I can hold out all day.",
BBBM020JT,J.T.,Ow.,
BBBM021JT,J.T.,"Okay, now let's just make sure we don't all let go at the same time.",
BBBM022JT,J.T.,"Say, there, I'm sure there's a compromise we can work out here",
BBBM023JT,J.T.,Come on partners. It's high noon. One of you's gotta draw.,
BBBM024JT,J.T.,Dang. This sure is getting a might uncomfortable.,
BBBM025JT,J.T.,I think I've done grown a whole inch taller.,
BBBM029JT,J.T.,Yes!,
BBBM034JT,J.T.,Ow!,
BBBM035EL,Elka,Ooof!,
BBBM037RA,Raz,That help?,
BBBM040EL,Elka,Beat it!,
BBBM041CP,Chops,Grrr!,
BBBN044RA,Raz,Come on. One nightmare.,
BBBN045LI,Lili,Nope.,
BBBN047LI,Lili,Pfffft. You hit like a boy.,
BBBO049CM,Clem,"Hey, look! It's Raz!",
BBBO050CF,Crystal,Yay! Raz is here!,
BBBO051CM,Clem,"Yeah, maybe you'll be able to beat this darn game. We can't do it.",
BBBO052CF,Crystal,"Yeah, we're no good, and the Coach won't open the gate until someone wins.",
BBBO053CM,Clem,Just punch that to start!,
BBBO055CM,Clem,Go Raz!,
BBBO058CO,Coach,"You score enough points on this course, kid, and I'll give you a reward!",
BBBO060CF,Crystal,"Yay, Raz!",
BBBO061CF,Crystal,Punch punch punch!,
BBBO063CF,Crystal,Punch punchie punch-punch!,
BBBO064CF,Crystal,"Punch, Raz, punch!",
BBBO065CF,Crystal,Punnnnnnch! Hurray!,
BBBO073CF,Crystal,"Oooh, don't punch the good guys!",
BBBO076CM,Clem,Awwww...,
BBBO078CF,Crystal,"Hey, it's okay.",
BBBO079CM,Clem,"I'm sure you'll get it, if you try again.",
BBBO080CF,Crystal,Yeah!,
BBBO082CF,Crystal,Try again!,
BBBO083CM,Clem,Try again! Try again! Try again! Try again! Try again! Try again! Hahaha!,
BBBO085CF,Crystal,"Hey, not us! Silly!",
BBBO086CM,Clem,Hahaha!,
BBBO088RA,Raz,SHUT UP! SHUT UP! SHUT UP!,
BBBO089CF,Crystal,"We'll never give up on you, Raz!",
BBBO090CM,Clem,"Yeah, we're going to keep cheering you 'til you win!",
BBBO091CF,Crystal,Yay!,
BBBO097CO,Coach,"Hey, good job, soldier.",
BBBO098CO,Coach,Now here's your reward.,
BBBO100CO,Coach,Heh heh.,
BBBQ009CO,Coach,Most people--they got something to hide.,
BBBQ010CO,Coach,"They store away their shame, their dirty little secrets, in these tiny vaults in their minds.",
BBBQ011CO,Coach,"But the enemy is not allowed any secrets in wartime, are they soldier?",
BBBQ012CO,Coach,So go ahead and bust open this vault. I got nothin' to hide!,
BBBQ016CO,Coach,"Ah, good. You enjoy that. One of my favorites!",
BBBR018CO,Coach,"Hey, what are you staring at?",
BBBR019CO,Coach,"We all have emotional baggage, kid.",
BBBR020CO,Coach,Why don't you make yourself useful? Sort some of it out while you're in here?,
BBBR021CO,Coach,Keep your eyes peeled for a tag that matches. Could be anywhere.,
BBBS023CO,Coach,"There it is! Now, you WILL pick up that tag and you WILL put it on that bag you just found.",
BBBS024CO,Coach,Unless you'd rather just drop and give me 20 right now!,
BBBT026CO,Coach,"Good job. A mind should be clean and tight, like a soldiers bunk!",
BBBT027CO,Coach,"Sort out enough E.B. and you'll get something good, I promise.",
BBBU002CO,Coach,"Hey, kid. I think I see a... silver dollar out there on that rail. Why don't you walk out there a bit and pick it up?",
BBBU004CO,Coach,Ha! Sucker! See you at the bottom!,
BBBW002RA,Raz,Run bunny!,
BBBW003RA,Raz,Shoo!,
BBBW004RA,Raz,"Run! No wait, come back! Better you than me, bunny.",
BBAD035EF,Elton,AIGH!,
BBBX002CO,Coach,The plane's going down soldier! Hit that door and Geronimo!!!,
BBBX004RA,Raz,"Hey, no one told me to pack a chute.",
BBBX005CO,Coach,Did Washington have a chute when he crossed the Delaware???,
BBBX007CO,Coach,"Just jump, sissy!",
BBBI050CO,Coach,"What was that, Slowey?",
BBBI202CO,Coach,"Jump on that pole and move, soldier!",
BBBI203CO,Coach,"Time to see how you shimmy, kid!",
BBBI204CO,Coach,Jump up to that ledge and let your fingers do the walkin'!,
BBBI207CO,Coach,"You can swing on these too, but if you've got the balance, try walking on top of 'em.",
BBBI208CO,Coach,Good for you monkey boy. Now swing high and try not to get shot!,
BBBI209CO,Coach,"They help you rank up, and when you rank up, you earn new psychic powers!",
BBAA000VE,Vernon,"Well, I guess we're all going to die.",
BBAA001VE,Vernon,My whole life is flashing before my eyes.,
BBAA002VE,Vernon,"My first memory is of my dog, Lady.",
BBAA003VE,Vernon,Lady and I used to go for long walks.,
BBAA004VE,Vernon,They would go on and on and on and on.,
BBAA005VE,Vernon,"This one time we went on a walk we called, ""The Longest Walk of all Time."" First we went to the end of our street.",
BBAA006VE,Vernon,And then we turned left.,
BBAA007VE,Vernon,And then we turned right.,
BBAA008VE,Vernon,And then we turned a soft right.,
BBAA009VE,Vernon,And then we turned a deep left.,
BBAA010VE,Vernon,And then we took a side road.,
BBAA011VE,Vernon,And then we stopped and asked for directions.,
BBAA012VE,Vernon,And then Lady had to go to the bathroom.,
BBAA013VE,Vernon,And then Lady saw a gopher.,
BBAA014VE,Vernon,And then Lady had to stop and scratch.,
BBAA015VE,Vernon,And then I bent down to tie my shoe.,
BBAA016VE,Vernon,And then we walked three miles.,
BBAA017VE,Vernon,And then we walked two miles.,
BBAA018VE,Vernon,And then we walked four miles.,
BBAA019VE,Vernon,And then we walked half a mile.,
BBAA020VE,Vernon,And then we made a U-turn.,
BBAA021VE,Vernon,And then we had a snack.,
BBAA022VE,Vernon,And then we got lost for a while.,
BBAA023VE,Vernon,And then we got attacked by bees.,
BBAA024VE,Vernon,And then I fell down a manhole and had to reset my own arm back in the socket.,
BBAA025VE,Vernon,And then we just stood still for a while.,
BBAA026VE,Vernon,And then I gave Lady a bone.,
BBAA027RA,Raz,"Is there, like, a climax to this story?",
BBAA028VE,Vernon,Didn't I mention the gopher yet?,
BBAA029VE,Vernon,"Thought I hit that. Okay, let me start over. First, we went to the end of our street.",
BBAA030VE,Vernon,I think it's the door you want to hit. Not me.,
BBAG000BN,Benny,"Hey, slow down, new kid. ",
BBAG001BN,Benny,"If you pass me or Bobby you'll make us look bad, and Bobby will pound you deaf.",
BBAG002BN,Benny,"Right, Bobby?",
BBAG003BN,Benny,Bobby?,
BBAG004BN,Benny,BOBBY CAN YOU HEAR ME??? WHERE ARE YOU?? ,
BBAG005BN,Benny,Don't leave me alone out here Bobby! I'm frightened! I'm frightened!,
BBAH000CO,Coach,You've reached the brain of Coach Oleander. ,
BBAH001CO,Coach,I'm currently occupied with matters in another part of my mind right now.,
BBAH002CO,Coach,"But for those students who'd like to run the course again for extra credit, or for a make-up exam, I'll leave it open.",
BBAH003CO,Coach,"But I won't be here to watch over you, so please, children, be careful.",
BBAH004CO,Coach,Your minds mean everything to us.,
BBZE014TO,System,Press /XButton/ to punch targets.,
BBZG000TO,System,"You've just absorbed positive MENTAL HEALTH! Maintaining your mental health is important, because if you run out, you will not be able to maintain your astral projection in this mind, and you'll be kicked back into the REAL WORLD.",
BBAJ000RA,Raz,"Yes, you can Dogen. Just follow me!",
BBZE000TO,System,You will be penalized 1 point for missed targets and 2 points for friendly targets!,
BBZE001TO,System,You won't receive any points for hitting friendly targets!,
BBZE002TO,System,"Sorry, time up!",
BBZE003TO,System,Change direction with /YButton/,
BBZE004TO,System,Dismount bar with /BButton/,
BBZE005TO,System,Drop down to hang from tightrope with /BButton/,
BBZE006TO,System,Mount tightrope with /AButton/,
BBZE007TO,System,Press /AButton/ to jump.,
BBZE008TO,System,Press /AButton/ while airborne to double jump.,
BBZE009TO,System,Shimmy on bar with left /Joystick/,
BBZE010TO,System,Swing on bar with left /Joystick/,
BBZE011TO,System,Use LEFT /Joystick/ to shimmy across ledge.,
BBZE012TO,System,Use /Joystick/ with /Abutton/ to switch rails.,
BBZE013TO,System,Press /XButton/ to punch Coach.,
BBZF000TO,System,Jump and punch to activate button.,
BBZE015TO,System,Target Course complete! Time :,
BBZE016TO,System,seconds.,
BBZF001TO,System,"To SAVE your progress, press /StartButton/ to open your JOURNAL, and on the first page, select SAVE.",
BBZF002TO,System,Jump on tightrope to mount.,
BBZF003TO,System,Press /AButton/ to bounce on tightrope.,
BBZF004TO,System,Press /BButton/ to hang by your hands.,
BBZF005TO,System,Press /AButton/ while hanging to pull up.,
BBZF006TO,System,Swing or shimmy with LEFT /Joystick/,
BBZF007TO,System,Press /AButton/ while swinging to dismount.,
BBZF008TO,System,Click the RIGHT /Joystick/ to enter first-person camera mode. Then move the RIGHT /Joystick/ to look around.,
BBZF009TO,System,Use PSI BLAST to shut down the valve.,
BBQZ004DO,Dogen,Owwwwww.,
BBWX002RA,Raz,Aaaaaaah-oof!,
BBQZ009VE,Vernon,Oof!,
BBZE017TO,System,Jump and punch to play again for prizes!,
BBZA000TO,System,Follow me. I'll help you through the mines.,
BBZE018TO,System,points,
BBZE019TO,System,point,
BBAP002BZ,Bobby,"End of the line, sucka!",
BBAP004BZ,Bobby,Heh heh heh heh!,
BBAP008RA,Raz,"Eh, eh-eh. Eh, eh, eheh!",
BBZE020TO,System,Target Course,
BBZE021TO,System,Points needed:,
BBZE022TO,System,Time given:,
BBZE023TO,System,seconds,
BBZE024TO,System,You will be penalized 1 point for hitting friendly targets!,
BBZZ000TO,System,WAR,
BBZZ001TO,System,MILITARY,
BBZZ002TO,System,JOIN NOW,
BBZZ003TO,System,I WISH I WERE A MAN,
BBZZ004TO,System,I WANT YOU,
BBZZ005TO,System,Classified Route,
