identifier,labels,context,source_phase,translation
GLPC013TO,GLPC,System,PSI Powers Menu,
GLPC014TO,GLPC,System,First Person View,
GLPC015TO,GLPC,System,Journal,
GLPC016TO,GLPC,System,Stats,
GLPC017TO,GLPC,System,Look Up,
GLPC018TO,GLPC,System,Look Down,
GLPC019TO,GLPC,System,Look Left,
GLPC020TO,GLPC,System,Look Right,
GLPC021TO,GLPC,System,Type your nickname. Only letters and numbers allowed.,
GLPC022TO,GLPC,System,Press /Enter/ when done.,
GLPC023TO,GLPC,System,Press /Escape/ to cancel.,
GLZE018TO,GLZE,System,This save game appears to be damaged and cannot be used. Press /AButton/ to continue.,
GLZE020TO,GLZE,System,This profile appears to be damaged and cannot be used. Press /AButton/ to continue.,
GLZD556TO,GLZD,System,/AButton/ Zoom in,
GLZD557TO,GLZD,System,/AButton/ Zoom out,
GLPC024TO,GLPC,System,Show To-Do list on screen?,
GLPC025TO,GLPC,System,"While you were away, your game was automatically paused.",
GLPC026TO,GLPC,System,Ok,
GLPC028TO,GLPC,System,Defaults,
GLPC029TO,GLPC,System,Back,
GLPC030TO,GLPC,System,OPTIONS,
GLPC031TO,GLPC,System,MAIN MENU,
GLPC032TO,GLPC,System,EXIT GAME,
GLPC033TO,GLPC,System,Controls,
GLPC034TO,GLPC,System,CONTROLS,
GLPC035TO,GLPC,System,Bindings,
GLPC036TO,GLPC,System,Action Bindings,
GLPC037TO,GLPC,System,Advanced,
GLPC038TO,GLPC,System,Sensitivity,
GLPC039TO,GLPC,System,Deadzone,
GLPC040TO,GLPC,System,Camera,
GLPC041TO,GLPC,System,Camera Settings,
GLPC042TO,GLPC,System,Invert Camera Horiz.,
GLPC043TO,GLPC,System,Invert Camera Vert.,
GLPC044TO,GLPC,System,Invert 1st Person,
GLPC045TO,GLPC,System,Show Goal Popups,
GLPC046TO,GLPC,System,Graphics,
GLPC047TO,GLPC,System,Graphics Options,
GLPC048TO,GLPC,System,Full Screen,
GLPC049TO,GLPC,System,V.Sync,
GLPC050TO,GLPC,System,FSAA,
GLPC051TO,GLPC,System,FSFX,
GLPC052TO,GLPC,System,Adv. Shading,
GLPC053TO,GLPC,System,Shadows,
GLPC054TO,GLPC,System,Brightness,
GLPC055TO,GLPC,System,Sound,
GLPC056TO,GLPC,System,Sound Settings,
GLPC057TO,GLPC,System,Master Volume,
GLPC058TO,GLPC,System,FX Volume,
GLPC059TO,GLPC,System,Music Volume,
GLPC060TO,GLPC,System,Voice Volume,
GLPC061TO,GLPC,System,Subtitles,
GLPC062TO,GLPC,System,Hardware Accel.,
GLPC063TO,GLPC,System,Advanced Settings,
GLPC064TO,GLPC,System,Quit To Title,
GLPC065TO,GLPC,System,"Are you sure you want to quit your game and go back to the title screen? If you haven't saved, your progress will be lost!",
GLPC066TO,GLPC,System,Exit To Desktop,
GLPC067TO,GLPC,System,Are you sure you want to stop playing Psychonauts?,
CAZF006TO,CAZF,System,"This DOWSING ROD can be used to find deeper, more valuable PSITANIUM ARROWHEADS. Equip the DOWSING ROD and watch and listen to its changing color and sound. This is how it lets you know that you are getting closer to a DEEP ARROWHEAD.",
GLPC068TO,GLPC,System,Lead PC Programmer,
GLPC069TO,GLPC,System,Changes to hardware acceleration will not take effect until you restart the game.,
GLPC070TO,GLPC,System,/AButton/ Play again,
GLPC071TO,GLPC,System,Smart Camera,
GLPC072TO,GLPC,System,Altitude Dampening,
GLPC074TO,GLPC,System,Pitch,
GLPC075TO,GLPC,System,Yaw,
GLPC076TO,GLPC,System,Horizontal,
GLPC077TO,GLPC,System,Vertical,
GLPC078TO,GLPC,System,Horizontal Sensitivity,
GLPC079TO,GLPC,System,Vertical Sensitivity,
GLPC080TO,GLPC,System,Left /Joystick/,
GLPC081TO,GLPC,System,Right /Joystick/,
GLPC082TO,GLPC,System,/FirstKey/ or /SecondKey/,
