identifier,file,character,source,translation
MCAL020EV,MC_StringTable.csv,Evil,Little help?,
MCAL021EV,MC_StringTable.csv,Evil,"Well, just as well. One fewer psychic in the world!",
MCAM000RA,MC_StringTable.csv,Raz,Dad! I made it!,
MCAM002RA,MC_StringTable.csv,Raz,"No, I used the acrobatics you taught me!",
MCAM011BU,MC_StringTable.csv,Butcher,Make that GROUND. Ha ha ha.,
MCAN000GD,MC_StringTable.csv,Augustus,Razputin...,
MCFU003GD,MC_StringTable.csv,Augustus,What is your brain doing out here in this tank with this other brain?,
MCFU004GD,MC_StringTable.csv,Augustus,And who are all these unconscious people? ,
MCFU005GD,MC_StringTable.csv,Augustus,What have you gotten yourself involved with?,
MCFU007GD,MC_StringTable.csv,Augustus,Is that really...,
MCFU008GD,MC_StringTable.csv,Augustus,Is that really how I look in your mind?,
MCFU010GD,MC_StringTable.csv,Augustus,"I don't hate psychics! I used my psychic connection with you to find you, and to project myself into your mind.",
MCFU012GD,MC_StringTable.csv,Augustus,"Son, I could never hate you. I only wanted you to be happy, Razputin. And safe. ",
MCFU013GD,MC_StringTable.csv,Augustus,Our family has many enemies.,
MCFU016GD,MC_StringTable.csv,Augustus,I have a LOT more hair than that!,
MCFU017GD,MC_StringTable.csv,Augustus,"Now, son, we have to carefully unweave your psyche from that other brain.",
MCFU018GD,MC_StringTable.csv,Augustus,We don't want anything bad to happen while your mind is in this tangled state. The damage could be permanent.,
MCFU020BU,MC_StringTable.csv,Butcher,NEVER!,
MCFU022BU,MC_StringTable.csv,Butcher,And I think I can juggle now!,
MCFU023EV,MC_StringTable.csv,Evil,Heh heh heh!,
MCFU025GD,MC_StringTable.csv,Augustus,"This is your mind, so YOU are the strong one here.",
MCFU026GD,MC_StringTable.csv,Augustus,"What I'm about to give you, my son--you must take care of it. Because it's everything I've got.",
MCVI009GD,MC_StringTable.csv,Augustus,Let's go inside.,
MCVI011GD,MC_StringTable.csv,Augustus,"Oh, I know a lot of it. While you were out I... poked around a bit. ",
MCVI012RA,MC_StringTable.csv,Raz,You what?,
MCVI014RA,MC_StringTable.csv,Raz,Hey!,
MCAC003OL,MC_StringTable.csv,Oly,I'm not going to hurt you!,
MCAD000OL,MC_StringTable.csv,Oly,Ow!,
MCAD001OL,MC_StringTable.csv,Oly,Ahh!,
MCAD002OL,MC_StringTable.csv,Oly,My face!,
MCAD003OL,MC_StringTable.csv,Oly,"Hey, that hurts!",
MCAD004OL,MC_StringTable.csv,Oly,Hellllp!,
MCBI001OL,MC_StringTable.csv,Oly,Help!,
MCBI003OL,MC_StringTable.csv,Oly,You gotta help me protect the bunnies!,
MCBI006RA,MC_StringTable.csv,Raz,The bunnies are safe. We're all safe!,
MCBI007OL,MC_StringTable.csv,Oly,"No, it's not safe!",
MCBI008OL,MC_StringTable.csv,Oly,He's coming!,
MCBI010OL,MC_StringTable.csv,Oly,My dad!,
MCAF000BU,MC_StringTable.csv,Butcher,Hnnnnnnng!,
MCAF001BU,MC_StringTable.csv,Butcher,Grrrrrrrk!,
MCAF002BU,MC_StringTable.csv,Butcher,Rrrrrrrrrrng!,
MCAG000BU,MC_StringTable.csv,Butcher,Hnnnnnn-ah!,
MCAH000BU,MC_StringTable.csv,Butcher,Gahhhhh!,
MCAH001BU,MC_StringTable.csv,Butcher,Ahhhhh!,
MCAH002BU,MC_StringTable.csv,Butcher,Oooof!,
MCAI000BU,MC_StringTable.csv,Butcher,Ahhh! Gahhh!,
MCAI001BU,MC_StringTable.csv,Butcher,"Man, those things hurt!",
MCAI002BU,MC_StringTable.csv,Butcher,"Stupid, spikey, flaming, juggling pins! Who invented those?",
MCAI003BU,MC_StringTable.csv,Butcher,Ahhh! Puncture wound. Flaming puncture wound. Grr.,
MCAI004BU,MC_StringTable.csv,Butcher,"Oh, jeez. Not again!",
MCAJ001BU,MC_StringTable.csv,Butcher,Ahhh!,
MCAJ003BU,MC_StringTable.csv,Butcher,Hyyyyy-up!,
MCAJ004BU,MC_StringTable.csv,Butcher,Ha!,
MCAJ005BU,MC_StringTable.csv,Butcher,Ha ha ha ha!,
MCAL000EV,MC_StringTable.csv,Evil,"Here comes the water, boy!",
MCAL005EV,MC_StringTable.csv,Evil,"Come on, son!",
MCAL006EV,MC_StringTable.csv,Evil,You always were the slow one!,
MCAL008EV,MC_StringTable.csv,Evil,"Hm. Come on, we're not done yet.",
MCAL010EV,MC_StringTable.csv,Evil,Don't stop now. The water's still rising!,
MCAL012EV,MC_StringTable.csv,Evil,"Pretty good, pretty good.",
MCAL014EV,MC_StringTable.csv,Evil,Ha ha ha.,
MCAL015EV,MC_StringTable.csv,Evil,"No, you can't really catch those. I was just testing ya.",
MCAM001EV,MC_StringTable.csv,Evil,You cheated!,
MCAM003EV,MC_StringTable.csv,Evil,"Don't lie to me, cheater! You crystal ball readers always cheat!",
MCAM004EV,MC_StringTable.csv,Evil,You're no son of mine.,
MCAM005EV,MC_StringTable.csv,Evil,Raah!,
MCAM006RA,MC_StringTable.csv,Raz,Oly! Are you okay? Where's your dad?,
MCAM007OL,MC_StringTable.csv,Oly,He's over there. Talking to your dad.,
MCAM008EV,MC_StringTable.csv,Evil,He did WHAT?,
MCAM009RA,MC_StringTable.csv,Raz,Uh-oh.,
MCAM010EV,MC_StringTable.csv,Evil,Somebody's gonna get GROUNDED.,
MCAM012EV,MC_StringTable.csv,Evil,Hahaha!,
MCFU001GD,MC_StringTable.csv,Augustus,Razputin! I see your skull is as hard to penetrate as ever!,
MCFU006EV,MC_StringTable.csv,Evil,"Psychics! He's been cavorting with filthy, cheating psychics!",
MCFU009EV,MC_StringTable.csv,Evil,"Man, do I hate psychics, and seeing my son happy!",
MCFU011RA,MC_StringTable.csv,Raz,"But how can you hate me for being psychic, if you're psychic too?",
MCFU014EV,MC_StringTable.csv,Evil,Ahhhhhh!,
MCFU015EV,MC_StringTable.csv,Evil,Ayeeeee!,
MCFU019EV,MC_StringTable.csv,Evil,Unweave? Detangle?,
MCFU021EV,MC_StringTable.csv,Evil,"I like it this way. I mean, look at how huge I am!",
MCVI000RA,MC_StringTable.csv,Raz,Ah! Ah! Bunnies! No! No meat! Ah!,
MCVI001GD,MC_StringTable.csv,Augustus,Shhh. No more. No more meat. Look.,
MCVI002OL,MC_StringTable.csv,Oly,There you go. Goooood little bunny. Ha ha!,
MCVI003OL,MC_StringTable.csv,Oly,"Hey, thanks for helping me save the bunnies. And for talking to my dad.",
MCVI004RA,MC_StringTable.csv,Raz,"Uh, no problem, little Oly.",
MCVI005OL,MC_StringTable.csv,Oly,"Bye! Bye! Wave goodbye, Mr. Bun!",
MCVI006RA,MC_StringTable.csv,Raz,Where's he going?,
MCVI007GD,MC_StringTable.csv,Augustus,We're separating the brains now Razputin.,
MCVI008GD,MC_StringTable.csv,Augustus,He'll be fine.,
MCVI010RA,MC_StringTable.csv,Raz,"Man, I can't wait to tell you about all the messed up stuff that happened.",
MCVI013GD,MC_StringTable.csv,Augustus,Tell me about this Lili person.,
MCAO000OL,MC_StringTable.csv,Oly,"No, not me! Grab the bunny! I'm not a bunny! I'm not!",
MCAP000OL,MC_StringTable.csv,Oly,Haha. Thanks!,
MCAQ000OL,MC_StringTable.csv,Oly,"Oh, I got you, Mr. Bunny!",
MCAQ001OL,MC_StringTable.csv,Oly,"Now, let's get you to safety!",
MCAR000OL,MC_StringTable.csv,Oly,Weeee!,
MCAB011OL,MC_StringTable.csv,Oly,You gotta help me save the bunny!,
MCAB012OL,MC_StringTable.csv,Oly,If he'd just hold still I could catch him and hide him from my dad.,
MCCA000OL,MC_StringTable.csv,Oly,"Oh, hi. My name is Morceau Oleander. But you can call me Morry. Or Oly.",
MCCA001RA,MC_StringTable.csv,Raz,What are you doing in my mind?,
MCCA002OL,MC_StringTable.csv,Oly,How did you get in my happy meadow? Nobody's supposed to know about it.,
MCCA003OL,MC_StringTable.csv,Oly,"You didn't tell my dad about it, did you?",
MCCA004BU,MC_StringTable.csv,Butcher,(evil laughter),
MCCA005OL,MC_StringTable.csv,Oly,(frightened gasp),
MCCA006OL,MC_StringTable.csv,Oly,"That's him! Oh no! Come on, little bunny. We'll be safe in here!",
MCIN000RA,MC_StringTable.csv,Raz,"Okay, the circus I remember from my childhood was definitely not made of meat--the last time I checked.",
MCIN001OL,MC_StringTable.csv,Oly,No! No! Little bunny don't go in there!,
MCIN002OL,MC_StringTable.csv,Oly,That's a bad place! That's a bad place for bunnies!,
MCAA000OL,MC_StringTable.csv,Oly,We did it! We saved all the bunnies!,
MCAA001OL,MC_StringTable.csv,Oly,Now it's time for the main event!,
MCAA002OL,MC_StringTable.csv,Oly,Come on!,
MCAS000OL,MC_StringTable.csv,Oly,Come on! This is my favorite ride!,
MCAS001OL,MC_StringTable.csv,Oly,Yeeeee-haw!  Ha-ha!,
MCAT000RA,MC_StringTable.csv,Raz,(emotional sobs),
MCAC009OL,MC_StringTable.csv,Oly,"(clicking noise, calling bunny)...that's it...(more clicking)...come here!",
MCAE009BU,MC_StringTable.csv,Butcher,"(clicking sounds, calling the bunny)",
MCAG001BU,MC_StringTable.csv,Butcher,Ahhh-ugh!,
MCZE000TO,MC_StringTable.csv,System,One brain redeemed for health.,
MCZE001TO,MC_StringTable.csv,System,Brains redeemed for health:,
MCZE002TO,MC_StringTable.csv,System,One cobweb turned in for a card.,
MCZE003TO,MC_StringTable.csv,System,Cobwebs turned in for cards:,
MCZE004TO,MC_StringTable.csv,System,Cards turned in:,
MCZE005TO,MC_StringTable.csv,System,Rank gained:,
MCZE006TO,MC_StringTable.csv,System,Bonus rank up for finding 8 Scavenger Hunt items!,
MCZE007TO,MC_StringTable.csv,System,Bonus rank up for finding all 16 Scavenger Hunt items!,
MCZE008TO,MC_StringTable.csv,System,"You have no PSI CARDS, SCAVENGER HUNT ITEMS, MENTAL COBWEBS, or reclaimed BRAINS to redeem!",
MCZG000TO,MC_StringTable.csv,System,"Razputin, your journey has made you much wiser, so why do you still hoard your goods like a miser?  The items you've scavenged, the webs, the cards, and brains--just to redeem them is all that remains!",
MCZG001TO,MC_StringTable.csv,System,Cards redeemed:,
MCZF000TO,MC_StringTable.csv,System,Press /YButton/ for Redemption.,
MCAU000FO,MC_StringTable.csv,Ford,"Next time his cleaver gets stuck in the ground, run up his arm and punch him in his fat head.",
MCZG002TO,MC_StringTable.csv,System,One brain redeemed for health,
MCZG004TO,MC_StringTable.csv,System,One cobweb turned in for a card,
MCZZ000TO,MC_StringTable.csv,System,World's Skinniest Guy DEAD,
MCZZ001TO,MC_StringTable.csv,System,Bunnies ALIVE,
MCZZ002TO,MC_StringTable.csv,System,Kid Lasagna DEAD,
MCZZ003TO,MC_StringTable.csv,System,Alligator Boy DEAD,
MCZZ004TO,MC_StringTable.csv,System,Meat ALIVE,
MCZF001TO,MC_StringTable.csv,System,Press /YButton/ to pick up.,
